example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,0,C,1,Sam only gave BILL grapes.,Sam also gave BILL apples.,"S1 says grapes were the only thing given to Bill, while S2 says Bill also got apples, contradicting the exclusivity in S1.",0.0,0.0,1,POS,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,0,C,1,Sam only gave ROB apples.,Sam also gave ROB bananas.,"S1 states that Sam gave only apples to Rob, but S2 claims bananas were also given, contradicting the exclusivity of apples in S1.",0.0,0.0,1,POS,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,0,C,1,Sam only gave ROB grapes.,Sam also gave ROB bananas.,"S1 says that Rob was given only grapes, while S2 states that Rob also received bananas, contradicting the exclusivity of grapes in S1.",0.0,0.0,1,POS,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,1,B,0,Sam only gave ROB oranges.,Sam didn’t give ELLEN oranges.,"S1 is about what was given to Rob, while S2 discusses what wasn’t given to Ellen. They are independent statements about different subjects.",0.0,0.034482758620689655,2,NEG,1,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,1,B,0,Sam only gave SUE apples.,Sam didn’t give ROB apples.,"S1 talks about what Sue received, while S2 talks about what Rob didn’t receive. The focus is on different people, making the statements independent.",0.0,0.038461538461538464,2,NEG,1,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,1,B,0,Sam only gave TOM apples.,Sam didn’t give BILL apples.,"S1 states the exclusivity of what Tom received, while S2 speaks about what Bill didn’t receive. These statements do not directly relate to each other.",0.0,0.037037037037037035,2,NEG,1,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,0,C,0,Sam only gave TOM bananas.,Sam didn’t give SUE bananas.,"S1 says that only Tom was given bananas, implying nobody else got bananas. S2 states that Sue didn’t get bananas, which is consistent. Wait—actually, they align. The classification should be A.",0.0,0.037037037037037035,2,NEG,1,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,1,A,0,Sam only gave SUE apples.,Sam didn’t give SUE oranges.,"S1 says Sue only received apples, which implies she got no other fruit. S2 says she didn’t get oranges, which matches that implication.",0.0,0.037037037037037035,2,NEG,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,1,A,0,Sam only gave SUE bananas.,Sam didn’t give SUE oranges.,"S1 states Sue exclusively received bananas, meaning she didn’t receive any other fruit. S2 confirms that she didn’t get oranges, which supports the exclusivity stated in S1.",0.0,0.037037037037037035,2,NEG,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,1,A,0,Sam only gave SUE oranges.,Sam didn’t give SUE bananas.,"S1 says that Sue got only oranges, meaning no other fruit was given to her. S2 confirms this by stating she didn’t receive bananas, which aligns with the exclusivity in S1.",0.0,0.037037037037037035,2,NEG,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
