question_number,question_id,speaker,source_json,source_item_index,label,focus,logic,alternative,s1,s2,audio_filename,audio_path,audio_exists
1,speaker1_ns1_item7,speaker1,ns1.json,7,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,speaker1_ns1_item7.wav,data/clips/focus_24/speaker1_ns1_item7.wav,yes
2,speaker0_f1_item5,speaker0,f1.json,5,A,1,NEG,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,speaker0_f1_item5.wav,data/clips/focus_24/speaker0_f1_item5.wav,yes
3,speaker2_ns2_item2,speaker2,ns2.json,2,A,1,NEG,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,speaker2_ns2_item2.wav,data/clips/focus_24/speaker2_ns2_item2.wav,yes
4,speaker2_ns2_item7,speaker2,ns2.json,7,B,2,NEG,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,speaker2_ns2_item7.wav,data/clips/focus_24/speaker2_ns2_item7.wav,yes
5,speaker1_ns1_item5,speaker1,ns1.json,5,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,speaker1_ns1_item5.wav,data/clips/focus_24/speaker1_ns1_item5.wav,yes
6,speaker1_ns1_item2,speaker1,ns1.json,2,B,1,POS,2,Sam only gave ROB grapes.,Sam also gave Rob oranges.,speaker1_ns1_item2.wav,data/clips/focus_24/speaker1_ns1_item2.wav,yes
7,speaker2_ns2_item1,speaker2,ns2.json,1,C,2,POS,2,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,speaker2_ns2_item1.wav,data/clips/focus_24/speaker2_ns2_item1.wav,yes
8,speaker1_ns1_item3,speaker1,ns1.json,3,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,speaker1_ns1_item3.wav,data/clips/focus_24/speaker1_ns1_item3.wav,yes
9,speaker1_ns1_item6,speaker1,ns1.json,6,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,speaker1_ns1_item6.wav,data/clips/focus_24/speaker1_ns1_item6.wav,yes
10,speaker2_ns2_item0,speaker2,ns2.json,0,B,1,NEG,2,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,speaker2_ns2_item0.wav,data/clips/focus_24/speaker2_ns2_item0.wav,yes
11,speaker0_f1_item1,speaker0,f1.json,1,C,1,POS,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,speaker0_f1_item1.wav,data/clips/focus_24/speaker0_f1_item1.wav,yes
12,speaker1_ns1_item4,speaker1,ns1.json,4,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,speaker1_ns1_item4.wav,data/clips/focus_24/speaker1_ns1_item4.wav,yes
13,speaker2_ns2_item5,speaker2,ns2.json,5,A,2,NEG,2,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,speaker2_ns2_item5.wav,data/clips/focus_24/speaker2_ns2_item5.wav,yes
14,speaker0_f1_item6,speaker0,f1.json,6,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,speaker0_f1_item6.wav,data/clips/focus_24/speaker0_f1_item6.wav,yes
15,speaker1_ns1_item1,speaker1,ns1.json,1,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,speaker1_ns1_item1.wav,data/clips/focus_24/speaker1_ns1_item1.wav,yes
16,speaker0_f1_item2,speaker0,f1.json,2,A,1,NEG,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,speaker0_f1_item2.wav,data/clips/focus_24/speaker0_f1_item2.wav,yes
17,speaker2_ns2_item6,speaker2,ns2.json,6,B,1,POS,2,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,speaker2_ns2_item6.wav,data/clips/focus_24/speaker2_ns2_item6.wav,yes
18,speaker0_f1_item4,speaker0,f1.json,4,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,speaker0_f1_item4.wav,data/clips/focus_24/speaker0_f1_item4.wav,yes
19,speaker2_ns2_item3,speaker2,ns2.json,3,B,2,POS,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,speaker2_ns2_item3.wav,data/clips/focus_24/speaker2_ns2_item3.wav,yes
20,speaker0_f1_item7,speaker0,f1.json,7,B,1,NEG,2,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,speaker0_f1_item7.wav,data/clips/focus_24/speaker0_f1_item7.wav,yes
21,speaker1_ns1_item0,speaker1,ns1.json,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,speaker1_ns1_item0.wav,data/clips/focus_24/speaker1_ns1_item0.wav,yes
22,speaker0_f1_item0,speaker0,f1.json,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,speaker0_f1_item0.wav,data/clips/focus_24/speaker0_f1_item0.wav,yes
23,speaker0_f1_item3,speaker0,f1.json,3,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,speaker0_f1_item3.wav,data/clips/focus_24/speaker0_f1_item3.wav,yes
24,speaker2_ns2_item4,speaker2,ns2.json,4,C,1,POS,1,Sam only gave TOM apples.,Sam also gave Bill apples.,speaker2_ns2_item4.wav,data/clips/focus_24/speaker2_ns2_item4.wav,yes
