example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,C,1,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,"the focus on “ELLEN” means S1 says Ellen is the only person Sam gave bananas to; it does not restrict what Sam gave Ellen. S2 says Sam gave Ellen something else (grapes), which is compatible, so S2 is independent, not entailed or contradicted.",0.0,0.0,1,POS,2,f9,oracle,openai,gpt-5.1,20260519_145258,,,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,1,B,1,Sam only gave MARY apples.,Sam didn't give Mary oranges.,"the focus on “MARY” means S1 says Mary is the only person Sam gave apples to; it does not restrict what he gave Mary. S2 claims about oranges, which are not constrained by S1’s focus, so S2 is independent.",0.0,0.0,1,NEG,2,f9,oracle,openai,gpt-5.1,20260519_145258,,,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,1,B,1,Sam only gave TOM bananas.,Sam also gave Tom apples.,"with focus on “TOM”, S1 says Tom is the only person who got bananas. It doesn’t say Sam did not give Tom other things. S2 talks about Tom getting apples, which S1 neither entails nor denies, so S2 is independent.",0.0,0.0,1,POS,2,f9,oracle,openai,gpt-5.1,20260519_145258,,,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,1,B,1,Sam only gave MARY apples.,Sam didn't give Mary grapes.,"focusing “MARY” makes S1 say Mary is the only person who got apples, not that apples are the only thing Mary got. S2 is about grapes to Mary, which S1 leaves open, so S2 is independent.",0.0,0.0,1,NEG,2,f9,oracle,openai,gpt-5.1,20260519_145258,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,"focus on “ORANGES” makes S1 say oranges are the only thing Sam gave Mary. That excludes apples to Mary, so S2 is entailed.",0.0,0.0,2,NEG,2,f9,oracle,openai,gpt-5.1,20260519_145258,,,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,0,C,1,Sam only gave Rob APPLES.,Sam also gave Mary apples.,"focus on “APPLES” makes S1 say apples are the only thing Sam gave Rob, not that Rob is the only apple-recipient. Thus S1 allows Sam to give apples to Mary too, so S2 is compatible, not contradicted or entailed.",0.0,0.0,2,POS,1,f9,oracle,openai,gpt-5.1,20260519_145258,,,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,1,C,1,Sam only gave ROB apples.,Sam also gave Tom apples.,"with focus on “ROB”, S1 says Rob is the only person Sam gave apples to. S2 says Tom also got apples, which directly violates this, so S2 is contradicted.",0.0,0.0,1,POS,1,f9,oracle,openai,gpt-5.1,20260519_145258,,,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,1,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,"focusing “ORANGES” means oranges are the only thing Sam gave Rob. That rules out bananas to Rob, so S2 is entailed.",0.0,0.0,2,NEG,2,f9,oracle,openai,gpt-5.1,20260519_145258,,,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,0,C,1,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,"focus on “GRAPES” says grapes are the only thing Sam gave Bill, not that Bill is the only person who got grapes. S1 allows giving grapes to Rob, so S2 is independent, not contradicted or entailed.",0.0,0.0,2,POS,1,f9,oracle,openai,gpt-5.1,20260519_145258,,,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,1,C,1,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,"focusing “GRAPES” makes S1 say grapes are the only thing Sam gave Rob, which excludes bananas to Rob. S2 asserts bananas as well, so it contradicts S1.",0.0,0.0,2,POS,2,f9,oracle,openai,gpt-5.1,20260519_145258,,,
