example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,,,,"in S1, the prosodic focus is on ""bananas"" (Sam only gave Bill BANANAS), meaning no other items were given to Bill. In S2, it says Bill also got grapes, which contradicts the exclusivity implied by the focus on ""bananas"" in S1.",,,2,POS,2,f7,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoQ1tVYtadoZsWdtt7xdh3AwuZH,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,,,,"in S1, the prosodic focus is on ""Mary"" (Sam only gave MARY apples), meaning apples were not given to anyone else. In S2, it says Sam also gave Ellen apples, contradicting the focus-implied exclusivity of giving apples only to Mary.",,,1,POS,1,f7,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoQ1tVYtadoZsWdtt7xdh3AwuZH,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,0,C,,,,"in S1, the focus is on ""Sue"" (Sam only gave SUE apples), meaning apples were not given to anyone else. In S2, it says Sam also gave Tom apples, which contradicts the exclusivity on Sue implied by S1.",,,2,POS,1,f7,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoQ1tVYtadoZsWdtt7xdh3AwuZH,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,,,,"in S1, the prosodic focus is on ""grapes"" (Sam only gave Bill GRAPES), meaning no other items were given to Bill. In S2, it says Sam didn’t give Bill oranges, which is fully consistent with the exclusivity on grapes from S1. It’s entailed.",,,1,NEG,2,f7,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoQ1tVYtadoZsWdtt7xdh3AwuZH,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,A,,,,"in S1, the prosodic focus is on ""apples"" (Sam only gave Bill APPLES), meaning no other items were given to Bill. In S2, it says Bill didn’t get bananas, which is consistent with the exclusivity on apples.",,,1,NEG,2,f7,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoQ1tVYtadoZsWdtt7xdh3AwuZH,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,,,,"in S1, the prosodic focus is on ""Sue"" (Sam only gave SUE apples), meaning no one else got apples from Sam. In S2, it says Sam didn’t give Sue bananas, which does not violate the statement from S1. It’s entailed.",,,1,NEG,2,f7,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoQ1tVYtadoZsWdtt7xdh3AwuZH,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,0,B,,,,"in S1, the focus is on ""Ellen"" (Sam only gave ELLEN oranges), meaning oranges were given only to Ellen. In S2, it says Sam didn’t give Tom oranges, which doesn’t directly follow from nor contradict S1. They are independent.",,,1,NEG,1,f7,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoQ1tVYtadoZsWdtt7xdh3AwuZH,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,0,B,,,,"in S1, the prosodic focus is on ""Tom"" (Sam only gave TOM apples), meaning apples were only given to Tom. In S2, it says Sam didn’t give Mary apples, which is not entailed nor contradicted directly by S1. They are independent.",,,1,NEG,1,f7,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoQ1tVYtadoZsWdtt7xdh3AwuZH,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,1,B,,,,"in S1, the prosodic focus is on ""Tom"" (Sam only gave TOM apples), meaning apples were exclusively given to Tom. In S2, it says Sam also gave Bill apples. This does not contradict S1, because S1 focused on Tom as the only recipient related to apples, while S2 speaks about giving Bill apples too. They are independent.",,,2,POS,1,f7,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoQ1tVYtadoZsWdtt7xdh3AwuZH,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,0,A,,,,"in S1, the prosodic focus is on ""bananas"" (Sam only gave Sue BANANAS), meaning Sue only received bananas, no other items. In S2, it says Sam didn’t give Tom bananas, which is consistent with S1, since S1 doesn’t say anything about Tom. Therefore, it’s entailed.",,,2,NEG,1,f7,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoQ1tVYtadoZsWdtt7xdh3AwuZH,
