example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,0,Sam only gave Tom apples.,Sam also gave Tom grapes.,“only gave Tom apples” means the only giving Sam did was giving apples to Tom; giving Tom grapes would violate that.,0.0,0.0,2,POS,2,f10,baseline,openai,gpt-5,20260519_151419,,,
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,0,A,0,Sam only gave Mary bananas.,Sam didn't give Bill bananas.,“only gave Mary bananas” means Sam gave nothing to anyone else; therefore he didn’t give Bill bananas.,0.0,0.0,2,NEG,1,f10,baseline,openai,gpt-5,20260519_151419,,,
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave Mary apples.,Sam also gave Mary bananas.,"“only gave Mary apples” rules out giving Mary anything else, such as bananas.",0.0,0.0,1,POS,2,f10,baseline,openai,gpt-5,20260519_151419,,,
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,1,A,0,Sam only gave Sue apples.,Sam didn't give Rob apples.,"“only gave Sue apples” implies he didn’t give apples (or anything) to anyone else, including Rob.",0.0,0.0,1,NEG,1,f10,baseline,openai,gpt-5,20260519_151419,,,
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,0,C,0,Sam only gave Bill bananas.,Sam also gave Bill grapes.,"“only gave Bill bananas” rules out giving Bill other things, such as grapes.",0.0,0.0,1,POS,2,f10,baseline,openai,gpt-5,20260519_151419,,,
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,1,A,0,Sam only gave Rob grapes.,Sam didn't give Rob apples.,"“only gave Rob grapes” means he didn’t give Rob anything else, including apples.",0.0,0.0,2,NEG,2,f10,baseline,openai,gpt-5,20260519_151419,,,
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,1,C,0,Sam only gave Sue grapes.,Sam also gave Tom grapes.,"“only gave Sue grapes” means he didn’t give grapes to anyone else, so he couldn’t also give Tom grapes.",0.0,0.0,1,POS,1,f10,baseline,openai,gpt-5,20260519_151419,,,
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,1,A,0,Sam only gave Ellen grapes.,Sam didn't give Rob grapes.,"“only gave Ellen grapes” entails he didn’t give grapes to anyone else, such as Rob.",0.0,0.0,1,NEG,1,f10,baseline,openai,gpt-5,20260519_151419,,,
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave Mary grapes.,Sam also gave Mary bananas.,“only gave Mary grapes” rules out giving Mary other things like bananas.,0.0,0.0,1,POS,2,f10,baseline,openai,gpt-5,20260519_151419,,,
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,1,A,0,Sam only gave Sue apples.,Sam didn't give Bill apples.,"“only gave Sue apples” entails he didn’t give apples to anyone else, such as Bill.",0.0,0.0,1,NEG,1,f10,baseline,openai,gpt-5,20260519_151419,,,
