example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person Sam gave grapes to, which contradicts S2's claim that Sam also gave grapes to Sue.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person Sam gave oranges to, which contradicts S2's claim that Sam also gave oranges to Rob.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person Sam gave grapes to, which entails S2's statement that Sam didn't give grapes to Ellen.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 places prosodic focus on ""Tom"", meaning Tom was the only person Sam gave apples to, which provides no information about whether or not Sam gave Tom grapes.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Sam gave to Rob, which contradicts S2's claim that Sam also gave Rob apples.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person Sam gave grapes to, which entails S2's statement that Sam didn't give grapes to Tom.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Sam gave to Ellen, which provides no information about whether or not Sam gave bananas to Mary.",,,2,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""Rob"", meaning Rob was the only person Sam gave bananas to, which provides no information about whether or not Sam gave Rob oranges.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Sam gave to Mary, which contradicts S2's claim that Sam also gave Mary apples.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Sam gave to Sue, which provides no information about whether or not Sam gave oranges to Rob.",,,2,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
