example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,"Sam's action of only giving ROB oranges implies he did not give them to anyone else, including Tom.",0.0,0.0,1,NEG,1,f11,oracle,openai,gpt-4o,20260519_142232,,,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,"Sam's action of only giving SUE grapes implies he did not give them to anyone else, including Bill.",0.0,0.0,1,NEG,1,f11,oracle,openai,gpt-4o,20260519_142232,,,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,1,A,1,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,"Sam's action of only giving SUE oranges implies he did not give them to anyone else, including Mary.",0.0,0.0,1,NEG,1,f11,oracle,openai,gpt-4o,20260519_142232,,,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,0,A,1,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,"the statement ""only gave ELLEN bananas"" implies that Ellen did not receive other fruits like grapes from Sam.",0.0,0.0,1,NEG,2,f11,oracle,openai,gpt-4o,20260519_142232,,,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,0,A,1,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,"the statement ""only gave ELLEN bananas"" implies that Ellen did not receive other fruits like oranges from Sam.",0.0,0.0,1,NEG,2,f11,oracle,openai,gpt-4o,20260519_142232,,,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,0,A,1,Sam only gave ROB grapes.,Sam didn't give Rob apples.,Sam's action of only giving ROB grapes implies he didn't give different fruits like apples to Rob.,0.0,0.0,1,NEG,2,f11,oracle,openai,gpt-4o,20260519_142232,,,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave BILL apples.,Sam also gave Ellen apples.,Sam's action of only giving BILL apples contradicts the idea of also giving them to Ellen.,0.0,0.0,1,POS,1,f11,oracle,openai,gpt-4o,20260519_142232,,,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,1,C,1,Sam only gave ELLEN apples.,Sam also gave Sue apples.,Sam's action of only giving ELLEN apples contradicts the idea of also giving them to Sue.,0.0,0.0,1,POS,1,f11,oracle,openai,gpt-4o,20260519_142232,,,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,Sam's action of only giving ELLEN oranges contradicts the idea of also giving them to Rob.,0.0,0.0,1,POS,1,f11,oracle,openai,gpt-4o,20260519_142232,,,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Bill apples.,Sam's action of only giving SUE apples contradicts the idea of also giving them to Bill.,0.0,0.0,1,POS,1,f11,oracle,openai,gpt-4o,20260519_142232,,,
