example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,1,B,,,,"the prosodic focus in S1 is on ""Bill"", meaning Bill was the only person to receive grapes. This provides no information about whether Sam gave Bill apples, making S2 independent.",,,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,1,B,,,,"the prosodic focus in S1 is on ""Rob"", meaning Rob was the only person to receive apples. This provides no information about whether Sam gave Rob bananas, making S2 independent.",,,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,1,B,,,,"the prosodic focus in S1 is on ""Rob"", meaning Rob was the only person to receive grapes. This provides no information about whether Sam gave Rob bananas, making S2 independent.",,,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,0,A,,,,"the prosodic focus in S1 is on ""Rob"", meaning Rob was the only person to receive oranges. This entails that Sam did not give Ellen oranges.",,,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,0,A,,,,"the prosodic focus in S1 is on ""Sue"", meaning Sue was the only person to receive apples. This entails that Sam did not give Rob apples.",,,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,0,A,,,,"the prosodic focus in S1 is on ""Tom"", meaning Tom was the only person to receive apples. This entails that Sam did not give Bill apples.",,,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,0,A,,,,"the prosodic focus in S1 is on ""Tom"", meaning Tom was the only person to receive bananas. This entails that Sam did not give Sue bananas.",,,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,1,A,,,,"the prosodic focus in S1 is on ""apples"", meaning apples were the only thing Sam gave Sue. This entails that Sam did not give Sue oranges.",,,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,1,A,,,,"the prosodic focus in S1 is on ""bananas"", meaning bananas were the only thing Sam gave Sue. This entails that Sam did not give Sue oranges.",,,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,1,A,,,,"the prosodic focus in S1 is on ""oranges"", meaning oranges were the only thing Sam gave Sue. This entails that Sam did not give Sue bananas.",,,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
