example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,0,C,0,Sam only gave Bill grapes.,Sam also gave Bill apples.,“only gave Bill grapes” means Bill received nothing but grapes from Sam; saying he also gave Bill apples contradicts that.,0.0,0.0,1,POS,2,f12,baseline,openai,gpt-5,20260519_151419,,,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,0,C,0,Sam only gave Rob apples.,Sam also gave Rob bananas.,“only gave Rob apples” means Rob received nothing but apples from Sam; saying he also gave Rob bananas contradicts that.,0.0,0.0,1,POS,2,f12,baseline,openai,gpt-5,20260519_151419,,,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,0,C,0,Sam only gave Rob grapes.,Sam also gave Rob bananas.,“only gave Rob grapes” means Rob received nothing but grapes from Sam; giving him bananas contradicts that.,0.0,0.0,1,POS,2,f12,baseline,openai,gpt-5,20260519_151419,,,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,0,A,0,Sam only gave Rob oranges.,Sam didn't give Ellen oranges.,“only gave Rob oranges” entails that Rob is the sole recipient of oranges; thus Ellen did not get oranges.,0.0,0.0,2,NEG,1,f12,baseline,openai,gpt-5,20260519_151419,,,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,0,A,0,Sam only gave Sue apples.,Sam didn't give Rob apples.,“only gave Sue apples” entails apples were given to Sue and to no one else; thus Rob didn’t get apples.,0.0,0.0,2,NEG,1,f12,baseline,openai,gpt-5,20260519_151419,,,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,0,A,0,Sam only gave Tom apples.,Sam didn't give Bill apples.,“only gave Tom apples” entails no one but Tom received apples; thus Bill didn’t get apples.,0.0,0.0,2,NEG,1,f12,baseline,openai,gpt-5,20260519_151419,,,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,0,A,0,Sam only gave Tom bananas.,Sam didn't give Sue bananas.,“only gave Tom bananas” entails no one but Tom received bananas; thus Sue didn’t get bananas.,0.0,0.0,2,NEG,1,f12,baseline,openai,gpt-5,20260519_151419,,,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,1,A,0,Sam only gave Sue apples.,Sam didn't give Sue oranges.,“only gave Sue apples” means Sue received no items other than apples; thus she didn’t get oranges.,0.0,0.0,2,NEG,2,f12,baseline,openai,gpt-5,20260519_151419,,,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,1,A,0,Sam only gave Sue bananas.,Sam didn't give Sue oranges.,“only gave Sue bananas” means Sue received no items other than bananas; thus she didn’t get oranges.,0.0,0.0,2,NEG,2,f12,baseline,openai,gpt-5,20260519_151419,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,1,A,0,Sam only gave Sue oranges.,Sam didn't give Sue bananas.,“only gave Sue oranges” means Sue received no items other than oranges; thus she didn’t get bananas.,0.0,0.0,2,NEG,2,f12,baseline,openai,gpt-5,20260519_151419,,,
