example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"The word ""only"" in S1 implies that Sam gave Ellen nothing but grapes. S2 contradicts this by stating that Sam also gave her oranges.",,,2,POS,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,,,,"The focus on ""Ellen"" in S1 implies Sam gave apples only to Ellen, contradicting S2 which states Sam gave apples to Rob as well.",,,1,POS,1,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,0,A,,,,"The focus on ""Mary"" in S1 emphasizes that she was the recipient of the oranges, and S2 states that Sam didn't give her bananas, which is consistent with the information in S1. There is no contradiction, and S2 adds information that is logically compatible with S1.",,,1,NEG,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,,,,"The focus on ""Mary"" in S1 implies Sam gave oranges *only* to Mary, contradicting S2 which states Sam also gave oranges to Tom.",,,1,POS,1,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,0,A,,,,"The prosodic focus on ""Mary"" in S1 implies that Sam gave oranges to Mary and possibly not to others. S2 states that Sam didn't give oranges to Tom, which is consistent with the implication of S1 and does not contradict it. Therefore, S2 is entailed by S1.",,,2,NEG,1,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,,,,"S2 contradicts S1 because S1 states Sam ""only"" gave Mary grapes, implying no other fruits, while S2 claims he also gave her apples.",,,2,POS,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,,,,"The focus on ""Sue"" in S1 implies Sam gave apples *only* to Sue and no one else. S2 states Sam also gave apples to Mary, which contradicts the exclusivity implied in S1.",,,1,POS,1,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,,,,"The word ""only"" in S1 implies that Bill received no other fruits besides oranges. S2 contradicts this by stating that Bill also received bananas.",,,2,POS,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,,,,"The word ""only"" in S1 implies that Sam did not give Ellen anything other than bananas. S2 states that Sam also gave her grapes, which contradicts the exclusivity implied by ""only"".",,,2,POS,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,,,,"The prosodic focus on ""bananas"" in S1 emphasizes that only bananas were given, making S2 (Sam didn't give Tom oranges) a logical consequence.",,,2,NEG,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
