file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
ns1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,0.00015252318070679092,0.03732119204376309,0.9625262847755301,C,1
ns1,1,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.005169708214297657,0.9851720042433224,0.0096582875423799,B,1
ns1,2,B,1,POS,2,Sam only gave ROB grapes.,Sam also gave Rob oranges.,0.0014092861357522881,0.7300282931533146,0.26856242071093306,B,1
ns1,3,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.9918927225859739,0.004053638707013038,0.004053638707013038,A,1
ns1,4,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.0013736084908475593,0.9136442407916735,0.08498215071747893,B,1
ns1,5,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,0.9626037323934217,0.008328153483592617,0.029068114122985725,A,1
ns1,6,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,1.3845376129951424e-05,4.539724343859856e-05,0.9999407573804314,C,1
ns1,7,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.9769792817996437,0.017894001139626064,0.005126717060730238,A,0
ns2,0,B,1,NEG,2,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,0.9883039406494571,0.008550504276202105,0.0031455550743407705,A,0
ns2,1,C,2,POS,2,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,3.1199578802591925e-05,7.484389705871464e-05,0.9998939565241387,C,1
ns2,2,A,1,NEG,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,0.14626966000765565,0.8417237953847979,0.012006544607546446,B,0
ns2,3,B,2,POS,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,9.589267052078756e-05,0.0021825072173859927,0.9977216001120932,C,0
ns2,4,C,1,POS,1,Sam only gave TOM apples.,Sam also gave Bill apples.,0.00013660977351276878,0.022974230074613803,0.9768891601518734,C,1
ns2,5,A,2,NEG,2,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,0.9896640591961103,0.002779762792769982,0.007556178011119681,A,1
ns2,6,B,1,POS,2,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,0.0008008158325840884,0.004066878191500308,0.9951323059759156,C,0
ns2,7,B,2,NEG,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,0.07403488057667368,0.9019295124234825,0.024035606999843855,B,1
ns3,0,B,1,POS,2,Sam only gave ROB bananas.,Sam also gave Rob oranges.,3.1199266982268986e-05,8.480839777406287e-05,0.9998839923352437,C,0
ns3,1,C,2,POS,2,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,0.00015830883701987758,0.0008039586200514681,0.9990377325429286,C,1
ns3,2,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.9522296436202624,0.0253760610715498,0.0223942953081878,A,1
ns3,3,B,2,POS,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,0.0007431347801061567,0.07580180391125921,0.9234550613086346,C,0
ns3,4,C,1,POS,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,4.22275342671144e-06,1.8925067256313612e-05,0.999976852179317,C,1
ns3,5,A,2,NEG,2,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,0.09379534140854467,0.8899054715857704,0.016299187005684945,B,0
ns3,6,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.40346834638639506,0.5870429878518745,0.009488665761730445,B,1
ns3,7,B,2,NEG,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,0.00510079257911222,0.9720390399095679,0.02286016751131987,B,1
