example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"S1 focuses on ""grapes"", meaning grapes are the only thing Sam gave to Ellen. This contradicts S2, which states he also gave her oranges.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,,,,"S1 focuses on ""Ellen"", meaning Ellen is the only person Sam gave apples to. This contradicts S2, which states he also gave apples to Rob.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,1,B,,,,"S1 focuses on ""Mary"", meaning Mary is the only person Sam gave oranges to. This provides no information about whether he gave Mary bananas, making S2 independent.",,,1,NEG,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,,,,"S1 focuses on ""Mary"", meaning Mary is the only person Sam gave oranges to. This contradicts S2, which states he also gave oranges to Tom.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,,,,"S1 focuses on ""oranges"", meaning oranges are the only thing Sam gave to Mary. This provides no information about what he gave to Tom, making S2 independent.",,,2,NEG,1,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,,,,"S1 focuses on ""grapes"", meaning grapes are the only thing Sam gave to Mary. This contradicts S2, which states he also gave her apples.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,,,,"S1 focuses on ""Sue"", meaning Sue is the only person Sam gave apples to. This contradicts S2, which states he also gave apples to Mary.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,,,,"S1 focuses on ""oranges"", meaning oranges are the only thing Sam gave to Bill. This contradicts S2, which states he also gave him bananas.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,,,,"S1 focuses on ""bananas"", meaning bananas are the only thing Sam gave to Ellen. This contradicts S2, which states he also gave her grapes.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 focuses on ""bananas"", meaning bananas are the only thing Sam gave to Tom. This entails S2, which states he didn't give Tom oranges.",,,2,NEG,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
