example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"The word ""only"" in S1 implies that Bill was the sole recipient of grapes, directly contradicting S2's claim that Sue also received grapes.",,,1,POS,1,f1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"The focus on ""Sue"" in S1 implies Sam gave oranges *only* to Sue, contradicting S2 which states Sam gave oranges to Rob as well.",,,1,POS,1,f1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"The prosodic focus on ""Sue"" in S1 emphasizes that Sue was the only recipient of grapes, which entails that Ellen did not receive any.",,,1,NEG,1,f1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"The prosodic focus on ""Tom"" in S1 emphasizes that Tom was the recipient of apples, and S2 states that Sam didn't give Tom grapes, which is consistent with S1 and does not contradict it.",,,1,NEG,2,f1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 states that Sam gave Rob oranges and implies this was the only thing given (due to focus on ""only""). S2 contradicts this by stating Sam also gave apples, implying more than just oranges were given.",,,2,POS,2,f1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"The prosodic focus on ""Sue"" in S1 emphasizes that she was the only recipient, making S2 a logical consequence.",,,1,NEG,1,f1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,,,,"The word ""only"" in S1 implies Sam gave bananas to Ellen and no one else. S2 contradicts this by stating Sam also gave bananas to Mary.",,,2,POS,1,f1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"The prosodic focus on ""bananas"" in S1 emphasizes the specific fruit given to Rob, making S2 a logical continuation that Rob did not receive oranges.",,,1,NEG,2,f1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"The word ""only"" in S1 implies that Sam did not give Mary anything other than bananas. S2 states that Sam also gave Mary apples, which contradicts the exclusivity implied by ""only"".",,,2,POS,2,f1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"The prosodic focus on ""oranges"" in S1 emphasizes the type of item given, and S2 specifies that Rob was not given that same item, which is consistent with Sam only giving oranges to Sue.",,,2,NEG,1,f1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"The focus on ""Rob"" in S1 emphasizes that Rob was the only recipient, making S2 (Sam didn't give Tom bananas) a logical consequence.",,,1,NEG,1,f2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,0,A,,,,"The prosodic focus on ""grapes"" in S1 emphasizes that only grapes were given to Tom, making S2 (Tom didn't get oranges) consistent with and entailed by S1.",,,1,NEG,2,f2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,,,,"The focus on ""Sue"" in S1 implies Sam gave oranges *only* to Sue, contradicting S2 which states Sam gave apples to Sue as well, suggesting Sue received more than just oranges.",,,1,POS,2,f2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,,,,"The prosodic focus on ""Sue"" in S1 emphasizes that she was the only recipient, making S2 (Sam didn't give Rob bananas) a logical consequence.",,,1,NEG,1,f2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"The prosodic focus on ""oranges"" in S1 emphasizes that oranges were the only fruit given, making S2 a logical consequence.",,,2,NEG,2,f2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,,,,"The focus on ""apples"" in S1 implies that Sue received apples and possibly not other fruits, making S2 (Sam didn't give Sue oranges) consistent with the information provided.",,,1,NEG,2,f2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,,,,"The prosodic focus on ""grapes"" in S1 emphasizes that grapes were the only fruit given, making S2 (Sam didn't give Sue apples) a logical consequence.",,,2,NEG,2,f2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,,,,"The focus on ""Ellen"" in S1 implies Sam gave oranges *only* to Ellen, contradicting S2 which states Sam gave Ellen bananas (implying oranges were not the only thing given to her).",,,1,POS,2,f2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,,,,"The prosodic focus on ""Mary"" in S1 emphasizes that Mary was the only recipient of grapes, making it entailed that Sam didn't give Mary apples (as the focus implies exclusivity).",,,1,NEG,2,f2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,,,,"The focus on ""only"" in S1 implies Sam gave oranges to no one else besides Bill. S2 contradicts this by stating Sam also gave oranges to Mary.",,,1,POS,1,f2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"The prosodic focus on ""Ellen"" in S1 emphasizes that she was the only recipient, making S2 (Sam didn't give Tom grapes) a logical consequence.",,,1,NEG,1,f3,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen apples.,C,1,C,,,,"S2 contradicts S1 because the prosodic focus on ""apples"" in S1 emphasizes that apples were the only thing given, while S2 denies that apples were given at all.",,,2,NEG,0,f3,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,A,,,,"The word ""only"" in S1 is prosodically focused, indicating that Sam gave grapes to Rob and no one else. S2 states that Sam also gave grapes to Ellen, which contradicts the exclusivity implied by ""only."" Therefore, S2 is contradicted by S1.",,,2,POS,1,f3,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,,,,"The focus on ""only"" in S1 implies Sam gave apples to Rob and no one else, contradicting S2 which states Sam also gave apples to Ellen.",,,2,POS,1,f3,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,,,,"The prosodic focus on ""apples"" in S1 emphasizes the type of item given, and S2 states that Bill was not given apples, which is consistent with Sam only giving apples to Ellen. Thus, S2 is entailed by S1.",,,2,NEG,1,f3,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,,,,"The prosodic focus on ""apples"" in S1 emphasizes the type of item given, and S2 states that Sue was not given that same item, which is consistent with Sam only giving Rob apples.",,,2,NEG,1,f3,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,0,A,,,,"The focus on ""Rob"" in S1 emphasizes that Rob was the recipient of the oranges, but does not exclude the possibility that Sam gave Rob other things, like apples. S2 adds information consistent with S1, so it is entailed.",,,1,POS,2,f3,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,0,A,,,,"The focus on ""Rob"" in S1 emphasizes that Rob was the recipient of apples, and S2 adds that Rob also received grapes, which is consistent with the information in S1.",,,1,POS,2,f3,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,,,,"The prosodic focus on ""Rob"" in S1 emphasizes that Rob is the only recipient, making S2 (Sam didn't give Ellen bananas) logically entailed, as it aligns with the exclusivity implied by ""only.""",,,1,NEG,1,f3,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,0,C,,,,"S1 states that Sam gave apples to Mary and only Mary, while S2 claims Sam also gave apples to Ellen, contradicting the exclusivity implied by ""only"".",,,2,POS,1,f3,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,,,,"S1 states that Sam gave apples to Sue and only Sue, implying no one else received apples. S2 contradicts this by stating Sam also gave apples to Rob.",,,1,POS,1,f4,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,0,A,,,,"The focus on ""only"" in S1 emphasizes that Bill was the sole recipient of apples, making S2 (Sam didn't give Mary apples) logically entailed.",,,2,NEG,1,f4,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,1,C,,,,"The focus on ""Mary"" in S1 implies Sam gave oranges *only* to Mary, contradicting S2 which states Sam also gave oranges to Ellen.",,,1,POS,1,f4,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,0,A,,,,"The prosodic focus on ""Ellen"" in S1 implies that Sam gave apples to Ellen and possibly not to others. S2 states Sam didn't give apples to Tom, which is consistent with the implication of S1 and does not contradict it. Therefore, S2 is entailed by S1.",,,2,NEG,1,f4,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,0,C,,,,"S1 states Sam gave Rob bananas, with ""Rob"" focused, implying Rob was the only recipient. S2 claims Sam also gave Rob oranges, which contradicts the exclusivity implied by ""only"" in S1.",,,1,POS,2,f4,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,,,,"The prosodic focus on ""bananas"" in S1 emphasizes that bananas were the only fruit given, making S2 (Sam didn't give Bill grapes) logically entailed, as it's consistent with the exclusive action described.",,,2,NEG,2,f4,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,1,A,,,,"The prosodic focus on ""oranges"" in S1 emphasizes that oranges were the only fruit given, making S2 (not giving grapes) logically entailed.",,,2,NEG,2,f4,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,0,A,,,,"The prosodic focus on ""only"" in S1 emphasizes that Mary was the sole recipient of bananas, making S2 (Sam didn't give Ellen bananas) logically entailed.",,,2,NEG,1,f4,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"The prosodic focus on ""Bill"" in S1 emphasizes that Bill was the only recipient, making S2 a logical consequence.",,,1,NEG,1,f4,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,1,A,,,,"The prosodic focus on ""oranges"" in S1 emphasizes that oranges were the only fruit given, making S2 a logical consequence.",,,2,NEG,2,f4,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"The word ""only"" in S1 implies that Sam gave Ellen nothing but grapes. S2 contradicts this by stating that Sam also gave her oranges.",,,2,POS,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,,,,"The focus on ""Ellen"" in S1 implies Sam gave apples only to Ellen, contradicting S2 which states Sam gave apples to Rob as well.",,,1,POS,1,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,0,A,,,,"The focus on ""Mary"" in S1 emphasizes that she was the recipient of the oranges, and S2 states that Sam didn't give her bananas, which is consistent with the information in S1. There is no contradiction, and S2 adds information that is logically compatible with S1.",,,1,NEG,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,,,,"The focus on ""Mary"" in S1 implies Sam gave oranges *only* to Mary, contradicting S2 which states Sam also gave oranges to Tom.",,,1,POS,1,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,0,A,,,,"The prosodic focus on ""Mary"" in S1 implies that Sam gave oranges to Mary and possibly not to others. S2 states that Sam didn't give oranges to Tom, which is consistent with the implication of S1 and does not contradict it. Therefore, S2 is entailed by S1.",,,2,NEG,1,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,,,,"S2 contradicts S1 because S1 states Sam ""only"" gave Mary grapes, implying no other fruits, while S2 claims he also gave her apples.",,,2,POS,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,,,,"The focus on ""Sue"" in S1 implies Sam gave apples *only* to Sue and no one else. S2 states Sam also gave apples to Mary, which contradicts the exclusivity implied in S1.",,,1,POS,1,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,,,,"The word ""only"" in S1 implies that Bill received no other fruits besides oranges. S2 contradicts this by stating that Bill also received bananas.",,,2,POS,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,,,,"The word ""only"" in S1 implies that Sam did not give Ellen anything other than bananas. S2 states that Sam also gave her grapes, which contradicts the exclusivity implied by ""only"".",,,2,POS,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,,,,"The prosodic focus on ""bananas"" in S1 emphasizes that only bananas were given, making S2 (Sam didn't give Tom oranges) a logical consequence.",,,2,NEG,2,f5,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,,,,"The prosodic focus on ""Rob"" in S1 emphasizes that Rob was the only recipient of apples, which entails that Sue was not given any.",,,1,NEG,1,f6,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,,,,"S2 contradicts S1 because S1 states Sam *only* gave Sue grapes, implying he did not give her oranges, while S2 claims he also gave her oranges.",,,1,POS,2,f6,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,,,,"The prosodic focus on ""Sue"" in S1 emphasizes that Sue was the only recipient of grapes, making S2 (Sam didn't give Sue bananas) consistent with S1, as it doesn't contradict the information about grapes and doesn't introduce any conflicting claim.",,,1,NEG,2,f6,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,0,C,,,,"The word ""only"" in S1 implies Sam did not give grapes to anyone other than Mary. S2 states Sam gave grapes to Ellen, which contradicts this exclusivity.",,,2,POS,1,f6,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,,,,"S1 states Sam gave Rob oranges and implies no other fruits, while S2 contradicts this by stating Sam also gave Rob bananas.",,,2,POS,2,f6,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,,,,"The prosodic focus on ""bananas"" in S1 emphasizes that this was the only fruit Sam gave Sue, making S2 (Sam didn't give Sue grapes) logically entailed.",,,2,NEG,2,f6,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
