example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,,,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,,0.0,0.0,1,POS,2,f9,text_focus,openai,gpt-5,20260519_152701,,,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,,,0,Sam only gave Mary APPLES.,Sam didn't give Mary oranges.,,0.0,0.0,1,NEG,2,f9,text_focus,openai,gpt-5,20260519_152701,,,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,,,0,Sam only gave Tom BANANAS.,Sam also gave Tom apples.,,0.0,0.0,1,POS,2,f9,text_focus,openai,gpt-5,20260519_152701,,,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,,,0,Sam only gave Mary APPLES.,Sam didn't give Mary grapes.,,0.0,0.0,1,NEG,2,f9,text_focus,openai,gpt-5,20260519_152701,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,,,1,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,,0.0,0.0,2,NEG,2,f9,text_focus,openai,gpt-5,20260519_152701,,,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,,,0,Sam only gave ROB apples.,Sam also gave Mary apples.,,0.0,0.0,2,POS,1,f9,text_focus,openai,gpt-5,20260519_152701,,,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,,,1,Sam only gave ROB apples.,Sam also gave Tom apples.,,0.0,0.0,1,POS,1,f9,text_focus,openai,gpt-5,20260519_152701,,,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,,,1,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,,0.0,0.0,2,NEG,2,f9,text_focus,openai,gpt-5,20260519_152701,,,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,,,0,Sam only gave BILL grapes.,Sam also gave Rob grapes.,,0.0,0.0,2,POS,1,f9,text_focus,openai,gpt-5,20260519_152701,,,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,,,1,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,,0.0,0.0,2,POS,2,f9,text_focus,openai,gpt-5,20260519_152701,,,
