example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,,,,1,POS,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,0,B,,,,,,,1,POS,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,0,C,,,,,,,1,NEG,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,C,,,,,,,1,NEG,2,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,,,,,,,2,POS,2,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,C,,,,,,,1,NEG,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,,,,2,POS,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"(entailed), B (independent), or C (contradicted) based on the given information.",,,1,NEG,2,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,B,,,,,,,2,POS,2,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,,,,,,,2,NEG,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,0,B,,,,).,,,1,NEG,1,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,0,C,,,,,,,1,NEG,2,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,1,B,,,,,,,1,POS,2,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,0,B,,,,).,,,1,NEG,1,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,0,B,,,,"The sentence ""Sam only gave Tom oranges"" does not provide enough information to determine whether or not Sam gave Tom bananas. Therefore, the answer is unknown (X).",,,2,NEG,2,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,C,,,,,,,1,NEG,2,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_095418,,,speaker0
