file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
f1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,0.10080955806022389,0.6573608716654363,0.24182957027433974,B,0
f1,1,C,1,POS,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,0.08494897474497629,0.7112690323135968,0.2037819929414269,B,0
f1,2,A,1,NEG,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,0.005841720927393501,0.31894717066662787,0.6752111084059786,C,0
f1,3,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.04411071310305554,0.41851078113603213,0.5373785057609123,C,0
f1,4,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,0.2093430814973836,0.7306791252482641,0.05997779325435233,B,0
f1,5,A,1,NEG,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,0.003039557892450248,0.04195980109648846,0.9550006410110613,C,0
f1,6,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.10020614461826569,0.8390157554379654,0.06077809994376896,B,1
f1,7,B,1,NEG,2,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,0.020293963054257878,0.7615253668700876,0.21818067007565445,B,1
f1,8,C,2,POS,2,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,0.2829486244040312,0.6787584403737771,0.03829293522219179,B,0
f1,9,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.12195165251447472,0.33149895519799294,0.5465493922875324,C,0
f2,0,A,1,NEG,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,0.03935672984420334,0.8957549947518259,0.06488827540397077,B,0
f2,1,B,1,NEG,2,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,0.02779407834992009,0.15994386725712925,0.8122620543929506,C,0
f2,2,B,1,POS,2,Sam only gave SUE oranges.,Sam also gave Sue apples.,0.11900051652942813,0.6848007694763332,0.19619871399423866,B,1
f2,3,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.10337966963787976,0.7638782177544442,0.1327421126076761,B,0
f2,4,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.05661173342820649,0.253716205280229,0.6896720612915646,C,0
f2,5,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.019983253560771568,0.13030718780195893,0.8497095586372695,C,0
