example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,,,1,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,,0.0,0.0,1,POS,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecD2xrTmWxcqMVzJNEW2UNNhpPW,,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,,,1,Sam only gave MARY apples.,Sam didn’t give Mary oranges.,,0.0,0.03571428571428571,1,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecD2xrTmWxcqMVzJNEW2UNNhpPW,,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,,,1,Sam only gave TOM bananas.,Sam also gave Tom apples.,,0.0,0.0,1,POS,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecD2xrTmWxcqMVzJNEW2UNNhpPW,,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,,,1,Sam only gave MARY apples.,Sam didn’t give Mary grapes.,,0.0,0.037037037037037035,1,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecD2xrTmWxcqMVzJNEW2UNNhpPW,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,,,0,Sam only gave MARY oranges.,Sam didn’t give Mary apples.,,0.0,0.037037037037037035,2,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecD2xrTmWxcqMVzJNEW2UNNhpPW,,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,,,0,Sam only gave ROB apples.,Sam also gave Mary apples.,,0.0,0.0,2,POS,1,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecD2xrTmWxcqMVzJNEW2UNNhpPW,,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,,,1,Sam only gave ROB apples.,Sam also gave Tom apples.,,0.0,0.0,1,POS,1,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecD2xrTmWxcqMVzJNEW2UNNhpPW,,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,,,0,Sam only gave ROB oranges.,Sam didn’t give Rob bananas.,,0.0,0.037037037037037035,2,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecD2xrTmWxcqMVzJNEW2UNNhpPW,,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,,,0,Sam only gave BILL grapes.,Sam also gave Rob grapes.,,0.0,0.0,2,POS,1,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecD2xrTmWxcqMVzJNEW2UNNhpPW,,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,,,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,,0.0,0.0,2,POS,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecD2xrTmWxcqMVzJNEW2UNNhpPW,,
