example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,1,A,0,Sam only gave Rob oranges.,Sam didn't give Tom oranges.,"""only gave Rob oranges"" means Rob is the sole recipient of oranges, so Sam did not give oranges to Tom or anyone else; thus S2 follows.",0.0,0.0,1,NEG,1,f11,baseline,openai,gpt-5.1,20260519_144204,,,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,1,A,0,Sam only gave Sue grapes.,Sam didn't give Bill grapes.,"""only gave Sue grapes"" means Sue is the sole recipient of grapes, so Sam did not give grapes to Bill or anyone else; thus S2 follows.",0.0,0.0,1,NEG,1,f11,baseline,openai,gpt-5.1,20260519_144204,,,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,1,A,0,Sam only gave Sue oranges.,Sam didn't give Mary oranges.,"""only gave Sue oranges"" means Sue is the sole recipient of oranges, so Sam did not give oranges to Mary or anyone else; thus S2 follows.",0.0,0.0,1,NEG,1,f11,baseline,openai,gpt-5.1,20260519_144204,,,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,0,A,0,Sam only gave Ellen bananas.,Sam didn't give Ellen grapes.,"""only gave Ellen bananas"" specifies bananas as the sole item given to Ellen, so Sam did not give Ellen grapes or any other fruit; thus S2 follows.",0.0,0.0,1,NEG,2,f11,baseline,openai,gpt-5.1,20260519_144204,,,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,0,A,0,Sam only gave Ellen bananas.,Sam didn't give Ellen oranges.,"""only gave Ellen bananas"" means bananas are the only fruit Sam gave Ellen, so Sam did not give Ellen oranges; thus S2 follows.",0.0,0.0,1,NEG,2,f11,baseline,openai,gpt-5.1,20260519_144204,,,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,0,A,0,Sam only gave Rob grapes.,Sam didn't give Rob apples.,"""only gave Rob grapes"" means grapes are the only thing Sam gave Rob, so Sam did not give Rob apples or anything else; thus S2 follows.",0.0,0.0,1,NEG,2,f11,baseline,openai,gpt-5.1,20260519_144204,,,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,1,C,0,Sam only gave Bill apples.,Sam also gave Ellen apples.,"""only gave Bill apples"" excludes giving apples to anyone but Bill, so saying Sam also gave Ellen apples contradicts S1.",0.0,0.0,1,POS,1,f11,baseline,openai,gpt-5.1,20260519_144204,,,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,1,C,0,Sam only gave Ellen apples.,Sam also gave Sue apples.,"""only gave Ellen apples"" excludes giving apples to anyone but Ellen, so saying Sam also gave Sue apples contradicts S1.",0.0,0.0,1,POS,1,f11,baseline,openai,gpt-5.1,20260519_144204,,,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,1,C,0,Sam only gave Ellen oranges.,Sam also gave Rob oranges.,"""only gave Ellen oranges"" excludes giving oranges to anyone but Ellen, so saying Sam also gave Rob oranges contradicts S1.",0.0,0.0,1,POS,1,f11,baseline,openai,gpt-5.1,20260519_144204,,,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,1,C,0,Sam only gave Sue apples.,Sam also gave Bill apples.,"""only gave Sue apples"" excludes giving apples to anyone but Sue, so saying Sam also gave Bill apples contradicts S1.",0.0,0.0,1,POS,1,f11,baseline,openai,gpt-5.1,20260519_144204,,,
