file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
ns1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,0.06160403780171396,0.6623058245723293,0.27609013762595674,B,0
ns1,1,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.03336863743868867,0.6296200295142079,0.33701133304710346,B,1
ns1,2,B,1,POS,2,Sam only gave ROB grapes.,Sam also gave Rob oranges.,0.3436992035127481,0.6421146365644128,0.014186159922839052,B,1
ns1,3,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.023152119665145448,0.16070754603901038,0.8161403342958442,C,0
ns1,4,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.2362071728591472,0.7275692860460197,0.03622354109483311,B,1
ns1,5,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,0.0076693671780828,0.1058723456322971,0.88645828718962,C,0
ns1,6,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,0.15994386950680847,0.8122620508199159,0.027794079673275643,B,0
ns1,7,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.01532369522743636,0.19872068680273314,0.7859556179698305,C,0
ns2,0,B,1,NEG,2,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,0.010308453154711735,0.22040445235071496,0.7692870944945733,C,0
ns2,1,C,2,POS,2,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,0.06660368055790189,0.9194354297703136,0.013960889671784547,B,0
ns2,2,A,1,NEG,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,0.04782498219012295,0.6202038235873965,0.33197119422248056,B,0
ns2,3,B,2,POS,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,0.10158423030017115,0.7506115923915081,0.1478041773083207,B,1
ns2,4,C,1,POS,1,Sam only gave TOM apples.,Sam also gave Bill apples.,0.02865801346799343,0.949023102900843,0.022318883631163598,B,0
ns2,5,A,2,NEG,2,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,0.014053069681034149,0.26516199826024706,0.7207849320587189,C,0
ns2,6,B,1,POS,2,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,0.04703821026529316,0.9447877743507883,0.008174015383918544,B,1
ns2,7,B,2,NEG,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,0.04058548608587642,0.19362252218624518,0.7657919917278784,C,0
ns3,0,B,1,POS,2,Sam only gave ROB bananas.,Sam also gave Rob oranges.,0.1171904339167841,0.8659266830064412,0.016882883076774702,B,1
ns3,1,C,2,POS,2,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,0.18056717548124193,0.809245921498648,0.010186903020110015,B,0
ns3,2,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.11367897278858144,0.30901153193045205,0.5773094952809665,C,0
ns3,3,B,2,POS,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,0.13093975573621652,0.7535063034447221,0.1155539408190614,B,1
ns3,4,C,1,POS,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,0.07379870780652349,0.8990522651268027,0.027149027066673836,B,0
ns3,5,A,2,NEG,2,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,0.03467609186142568,0.17609971925702292,0.7892241888815514,C,0
ns3,6,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.019594707461186713,0.09348112004039312,0.8869241724984201,C,0
ns3,7,B,2,NEG,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,0.04708375178754213,0.5061980478599123,0.4467182003525455,B,1
