file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
ns1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,0.07305075936327134,0.8491871088082432,0.0777621318284854,B,0
ns1,1,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.04272720912695759,0.5455044442900652,0.41176834658297723,B,1
ns1,2,B,1,POS,2,Sam only gave ROB grapes.,Sam also gave Rob oranges.,0.1764283276930161,0.8031486100935332,0.020423062213450686,B,1
ns1,3,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.012469001049036248,0.09962076240568378,0.88791023654528,C,0
ns1,4,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.27910176608701703,0.6907835172405838,0.030114716672399133,B,1
ns1,5,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,0.004941656332703828,0.06067386588579398,0.9343844777815022,C,0
ns1,6,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,0.08811689008463001,0.8899490807282915,0.021934029187078444,B,0
ns1,7,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.01178724560609139,0.18728716703871753,0.800925587355191,C,0
ns2,0,B,1,NEG,2,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,0.003260136784885115,0.0713578049368631,0.9253820582782518,C,0
ns2,1,C,2,POS,2,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,0.03934805959448275,0.9533161947109348,0.007335745694582502,B,0
ns2,2,A,1,NEG,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,0.018165487185197515,0.17234932850961315,0.8094851843051893,C,0
ns2,3,B,2,POS,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,0.08144664410028675,0.875633988757286,0.04291936714242716,B,1
ns2,4,C,1,POS,1,Sam only gave TOM apples.,Sam also gave Bill apples.,0.029121070528112483,0.9494063975597749,0.021472531912112625,B,0
ns2,5,A,2,NEG,2,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,0.010735607149202927,0.2540747478132135,0.7351896450375836,C,0
ns2,6,B,1,POS,2,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,0.08062329668864925,0.9083799476829039,0.010996755628446904,B,1
ns2,7,B,2,NEG,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,0.03441017137214426,0.131907675546367,0.8336821530814887,C,0
ns3,0,B,1,POS,2,Sam only gave ROB bananas.,Sam also gave Rob oranges.,0.06919321540976954,0.9114418243257095,0.019364960264520982,B,1
ns3,1,C,2,POS,2,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,0.16842291796026582,0.8161541840250649,0.01542289801466924,B,0
ns3,2,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.03191276043063461,0.11226008454527116,0.8558271550240942,C,0
ns3,3,B,2,POS,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,0.1333351280043497,0.8296390426564129,0.03702582933923743,B,1
ns3,4,C,1,POS,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,0.04271052448246894,0.9421790805515377,0.015110394965993406,B,0
ns3,5,A,2,NEG,2,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,0.019709999021745223,0.17430621629272575,0.805983784685529,C,0
ns3,6,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.007763113988358499,0.10885411556790565,0.8833827704437358,C,0
ns3,7,B,2,NEG,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,0.010705518715818877,0.1585503050051607,0.8307441762790204,C,0
