model_name,file_id,example_index,E_INF
gemini-3.1-pro-preview,f1,0,True
gemini-3.1-pro-preview,f1,1,False
gemini-3.1-pro-preview,f1,2,True
gemini-3.1-pro-preview,f1,3,False
gemini-3.1-pro-preview,f1,4,False
gemini-3.1-pro-preview,f1,5,True
gemini-3.1-pro-preview,f1,6,False
gemini-3.1-pro-preview,f1,7,False
gemini-3.1-pro-preview,f1,8,False
gemini-3.1-pro-preview,f1,9,False
gemini-3.1-pro-preview,f2,0,True
gemini-3.1-pro-preview,f2,1,False
gemini-3.1-pro-preview,f2,2,False
gemini-3.1-pro-preview,f2,3,True
gemini-3.1-pro-preview,f2,4,True
gemini-3.1-pro-preview,f2,5,False
gemini-3.1-pro-preview,f2,6,False
gemini-3.1-pro-preview,f2,7,False
gemini-3.1-pro-preview,f2,8,False
gemini-3.1-pro-preview,f2,9,False
gemini-3.1-pro-preview,f3,0,True
gemini-3.1-pro-preview,f3,1,False
gemini-3.1-pro-preview,f3,2,False
gemini-3.1-pro-preview,f3,3,False
gemini-3.1-pro-preview,f3,4,False
gemini-3.1-pro-preview,f3,5,False
gemini-3.1-pro-preview,f3,6,False
gemini-3.1-pro-preview,f3,7,False
gemini-3.1-pro-preview,f3,8,True
gemini-3.1-pro-preview,f3,9,False
gemini-3.1-pro-preview,f4,0,False
gemini-3.1-pro-preview,f4,1,False
gemini-3.1-pro-preview,f4,2,False
gemini-3.1-pro-preview,f4,3,False
gemini-3.1-pro-preview,f4,4,False
gemini-3.1-pro-preview,f4,5,False
gemini-3.1-pro-preview,f4,6,False
gemini-3.1-pro-preview,f4,7,False
gemini-3.1-pro-preview,f4,8,True
gemini-3.1-pro-preview,f4,9,False
gemini-3.1-pro-preview,f5,0,False
gemini-3.1-pro-preview,f5,1,True
gemini-3.1-pro-preview,f5,2,False
gemini-3.1-pro-preview,f5,3,True
gemini-3.1-pro-preview,f5,4,False
gemini-3.1-pro-preview,f5,5,False
gemini-3.1-pro-preview,f5,6,False
gemini-3.1-pro-preview,f5,7,False
gemini-3.1-pro-preview,f5,8,False
gemini-3.1-pro-preview,f5,9,False
gemini-3.1-pro-preview,f6,0,True
gemini-3.1-pro-preview,f6,1,False
gemini-3.1-pro-preview,f6,2,False
gemini-3.1-pro-preview,f6,3,False
gemini-3.1-pro-preview,f6,4,False
gemini-3.1-pro-preview,f6,5,False
gemini-3.1-pro-preview,f6,6,True
gemini-3.1-pro-preview,f6,7,False
gemini-3.1-pro-preview,f6,8,False
gemini-3.1-pro-preview,f6,9,False
gemini-3.1-pro-preview,f7,0,True
gemini-3.1-pro-preview,f7,1,True
gemini-3.1-pro-preview,f7,2,False
gemini-3.1-pro-preview,f7,3,False
gemini-3.1-pro-preview,f7,4,False
gemini-3.1-pro-preview,f7,5,False
gemini-3.1-pro-preview,f7,6,True
gemini-3.1-pro-preview,f7,7,True
gemini-3.1-pro-preview,f7,8,False
gemini-3.1-pro-preview,f7,9,False
gemini-3.1-pro-preview,f8,0,False
gemini-3.1-pro-preview,f8,1,False
gemini-3.1-pro-preview,f8,2,True
gemini-3.1-pro-preview,f8,3,False
gemini-3.1-pro-preview,f8,4,False
gemini-3.1-pro-preview,f8,5,False
gemini-3.1-pro-preview,f8,6,False
gemini-3.1-pro-preview,f8,7,False
gemini-3.1-pro-preview,f8,8,False
gemini-3.1-pro-preview,f8,9,False
gemini-3.1-pro-preview,f9,0,False
gemini-3.1-pro-preview,f9,1,False
gemini-3.1-pro-preview,f9,2,False
gemini-3.1-pro-preview,f9,3,False
gemini-3.1-pro-preview,f9,4,False
gemini-3.1-pro-preview,f9,5,False
gemini-3.1-pro-preview,f9,6,True
gemini-3.1-pro-preview,f9,7,False
gemini-3.1-pro-preview,f9,8,False
gemini-3.1-pro-preview,f9,9,False
gemini-3.1-pro-preview,f10,0,False
gemini-3.1-pro-preview,f10,1,True
gemini-3.1-pro-preview,f10,2,False
gemini-3.1-pro-preview,f10,3,True
gemini-3.1-pro-preview,f10,4,False
gemini-3.1-pro-preview,f10,5,True
gemini-3.1-pro-preview,f10,6,False
gemini-3.1-pro-preview,f10,7,True
gemini-3.1-pro-preview,f10,8,False
gemini-3.1-pro-preview,f10,9,True
gemini-3.1-pro-preview,f11,0,True
gemini-3.1-pro-preview,f11,1,True
gemini-3.1-pro-preview,f11,2,True
gemini-3.1-pro-preview,f11,3,False
gemini-3.1-pro-preview,f11,4,False
gemini-3.1-pro-preview,f11,5,False
gemini-3.1-pro-preview,f11,6,True
gemini-3.1-pro-preview,f11,7,False
gemini-3.1-pro-preview,f11,8,False
gemini-3.1-pro-preview,f11,9,True
gemini-3.1-pro-preview,f12,0,True
gemini-3.1-pro-preview,f12,1,True
gemini-3.1-pro-preview,f12,2,True
gemini-3.1-pro-preview,f12,3,False
