example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,,,0,The original content of this audio is:'Sam only gave Bill grapes. Sam also gave Bill apples.',,,0.7204,,1,POS,2,f12,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,,,0,The original content of this audio is: 'Sam only gave Rob apples. Sam also gave Rob bananas.',,,0.7312,,1,POS,2,f12,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,,,0,The original content of this audio is:'Sam only gave Rob grapes. Sam also gave Rob bananas.',,,0.7283,,1,POS,2,f12,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,,,0,The original content of this audio is: 'Sam only gave Rob oranges. Sam didn't give Ellen oranges.',,,0.7347,,2,NEG,1,f12,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,,,0,The original content of this audio is: 'Sam only gave sue apples Sam didn't give Rob apples.',,,0.7312,,2,NEG,1,f12,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,,,0,The original content of this audio is: 'Sam only gave Tom apples. Sam didn't give Bill apples.',,,0.7368,,2,NEG,1,f12,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,,,0,The original content of this audio is: 'Sam only gave Tom bananas. Sam didn't give Sue bananas.',,,0.7292,,2,NEG,1,f12,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,,,0,The original content of this audio is: 'Sam only gave two apples. Sam didn't give two oranges.',,,0.7684,,2,NEG,2,f12,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,,,0,"The transcription of the sentence is: 'Sam only gave soup, bananas. Sam didn't give soup, oranges.'",,,0.7475,,2,NEG,2,f12,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,,,0,The transcription of the sentence is: 'Sam Only gave Sue oranges. Sam didn't give Sue bananas.',,,0.7263,,2,NEG,2,f12,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
