file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
f1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,0.061733407159717896,0.8931014718573543,0.04516512098292777,B,0
f1,1,C,1,POS,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,0.1209313328280637,0.8009895319386088,0.0780791352333275,B,0
f1,2,A,1,NEG,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,0.006593104639425972,0.2132759268509058,0.7801309685096682,C,0
f1,3,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.025213289349210796,0.46836423368487407,0.5064224769659151,C,0
f1,4,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,0.1327473575269964,0.8389891023700894,0.028263540102914167,B,0
f1,5,A,1,NEG,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,0.007923895810696508,0.10437686275798672,0.8876992414313167,C,0
f1,6,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.19162919666687483,0.7461579084997355,0.06221289483338969,B,1
f1,7,B,1,NEG,2,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,0.015725930616474246,0.7344052524715942,0.2498688169119316,B,1
f1,8,C,2,POS,2,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,0.1143766560391797,0.8719630000155271,0.013660343945293226,B,0
f1,9,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.08486705833891728,0.4112540097209516,0.5038789319401311,C,0
f2,0,A,1,NEG,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,0.0657299469243791,0.6743030641645164,0.25996698891110454,B,0
f2,1,B,1,NEG,2,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,0.01074738150717606,0.19964425666425528,0.7896083618285686,C,0
f2,2,B,1,POS,2,Sam only gave SUE oranges.,Sam also gave Sue apples.,0.04583549270176883,0.9206305427543031,0.033533964543928006,B,1
f2,3,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.09930982550589401,0.8059280776811019,0.09476209681300413,B,0
f2,4,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.02504590866855977,0.21977084269148822,0.755183248639952,C,0
f2,5,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.014700322562864977,0.3094339144906635,0.6758657629464715,C,0
f2,6,A,2,NEG,2,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,0.007807354724895808,0.331977191672628,0.6602154536024761,C,0
f2,7,B,1,POS,2,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,0.10924110898363756,0.8459264325333897,0.04483245848297268,B,1
f2,8,B,1,NEG,2,Sam only gave MARY grapes.,Sam didn't give Mary apples.,0.003050252921332121,0.06078919091020785,0.9361605561684601,C,0
f2,9,C,1,POS,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,0.08086904240876466,0.8970225918672707,0.022108365723964643,B,0
f3,0,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,0.00391704492973438,0.030096238025420583,0.9659867170448451,C,0
f3,1,C,2,NEG,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen apples.,0.0032007974686611407,0.02966483850334475,0.9671343640279941,C,1
f3,2,B,2,POS,1,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,0.10107361546909463,0.7585995671046453,0.1403268174262601,B,1
f3,3,B,2,POS,1,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,0.1075823314816652,0.7585292936322956,0.13388837488603925,B,1
