example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,"with focus on GRAPES, “only” means grapes are the only thing Sam gave Ellen; S2 says he also gave her oranges, contradicting S1.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5.1,20260519_145258,,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,0,B,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,"with focus on ELLEN, “only” means Ellen is the only recipient of apples; S2 says Rob also got apples, which contradicts that, so the correct label is C, not A.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-5.1,20260519_145258,,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,0,A,1,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,"with focus on MARY, “only” means Mary is the only person Sam gave oranges to; it says nothing about what Sam gave Mary besides oranges, so S2 (about bananas) is not entailed and is actually independent, so the correct label is B, not A.",0.0,0.0,1,NEG,2,f5,oracle,openai,gpt-5.1,20260519_145258,,,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Tom oranges.,"with focus on MARY, “only” means Mary is the sole recipient of oranges; S2 says Tom also received oranges, contradicting S1.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-5.1,20260519_145258,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,"with focus on ORANGES, “only” means oranges are the only thing Sam gave Mary; it does not restrict who else might get oranges, so S2 about Tom is independent.",0.0,0.0,2,NEG,1,f5,oracle,openai,gpt-5.1,20260519_145258,,,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,1,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,"with focus on GRAPES, “only” means grapes are the only thing Sam gave Mary; S2 says he also gave her apples, contradicting S1.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5.1,20260519_145258,,,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Mary apples.,"with focus on SUE, “only” means Sue is the only recipient of apples; S2 says Mary also got apples, contradicting S1.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-5.1,20260519_145258,,,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,1,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,"with focus on ORANGES, “only” means oranges are the only thing Sam gave Bill; S2 says he also gave Bill bananas, contradicting S1.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5.1,20260519_145258,,,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,1,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,"with focus on BANANAS, “only” means bananas are the only thing Sam gave Ellen; S2 says he also gave her grapes, contradicting S1.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5.1,20260519_145258,,,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,"with focus on BANANAS, “only” means bananas are the only thing Sam gave Tom; therefore he did not give Tom oranges, so S2 is entailed.",0.0,0.0,2,NEG,2,f5,oracle,openai,gpt-5.1,20260519_145258,,,
