example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,"if Sam only gave Rob oranges, it entails that he did not give oranges to anyone else, including Tom.",0.0,0.0,1,NEG,1,f11,audio,gemini,gemini-2.5-flash,20260428_141156,,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,"if Sam only gave Sue grapes, it entails that he did not give grapes to anyone else, including Bill.",0.0,0.0,1,NEG,1,f11,audio,gemini,gemini-2.5-flash,20260428_141156,,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,1,A,1,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,"if Sam only gave Sue oranges, it entails that he did not give oranges to anyone else, including Mary.",0.0,0.0,1,NEG,1,f11,audio,gemini,gemini-2.5-flash,20260428_141156,,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,0,A,0,Sam only gave Ellen BANANAS.,Sam didn't give Ellen grapes.,"if Sam only gave Ellen bananas, it entails that he did not give Ellen any other type of fruit, including grapes.",0.0,0.0,1,NEG,2,f11,audio,gemini,gemini-2.5-flash,20260428_141156,,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,0,A,0,Sam only gave Ellen BANANAS.,Sam didn't give Ellen oranges.,"if Sam only gave Ellen bananas, it entails that he did not give Ellen any other type of fruit, including oranges.",0.0,0.0,1,NEG,2,f11,audio,gemini,gemini-2.5-flash,20260428_141156,,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,0,A,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,"if Sam only gave Rob grapes, it entails that he did not give Rob any other type of fruit, including apples.",0.0,0.0,1,NEG,2,f11,audio,gemini,gemini-2.5-flash,20260428_141156,,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave BILL apples.,Sam also gave Ellen apples.,"""Sam only gave Bill apples"" implies that Bill was the *only* person Sam gave apples to. ""Sam also gave Ellen apples"" contradicts this by stating another person received apples.",0.0,0.0,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260428_141156,,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,1,C,1,Sam only gave ELLEN apples.,Sam also gave Sue apples.,"""Sam only gave Ellen apples"" implies that Ellen was the *only* person Sam gave apples to. ""Sam also gave Sue apples"" contradicts this by stating another person received apples.",0.0,0.0,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260428_141156,,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,"""Sam only gave Ellen oranges"" implies that Ellen was the *only* person Sam gave oranges to. ""Sam also gave Rob oranges"" contradicts this by stating another person received oranges.",0.0,0.0,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260428_141156,,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Bill apples.,"""Sam only gave Sue apples"" implies that Sue was the *only* person Sam gave apples to. ""Sam also gave Bill apples"" contradicts this by stating another person received apples.",0.0,0.0,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260428_141156,,
