example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 focuses on ""Bill"", meaning Bill is the only person who received grapes. S2 states that Sue also received grapes, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 focuses on ""Sue"", meaning Sue is the only person who received oranges. S2 states that Rob also received oranges, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 focuses on ""Sue"", meaning Sue is the only person who received grapes. This entails that Ellen did not receive grapes.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 focuses on ""Tom"", meaning Tom is the only person who received apples. This provides no information about whether Tom received grapes, making S2 independent.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 focuses on ""oranges"", meaning oranges are the only thing Rob received. S2 states that Rob also received apples, which contradicts S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 focuses on ""Sue"", meaning Sue is the only person who received grapes. This entails that Tom did not receive grapes.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning bananas are the only thing Ellen received. This provides no information about what Mary received, making S2 independent.",,,2,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 focuses on ""Rob"", meaning Rob is the only person who received bananas. This provides no information about whether Rob received oranges, making S2 independent.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"S1 focuses on ""bananas"", meaning bananas are the only thing Mary received. S2 states that Mary also received apples, which contradicts S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 focuses on ""oranges"", meaning oranges are the only thing Sue received. This provides no information about whether Rob received oranges, making S2 independent.",,,2,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
