file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
f1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,5.142878011543676e-05,0.0002611768787300998,0.9996873943411545,C,1
f1,1,C,1,POS,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,1.6698774846653665e-05,0.000158433571301713,0.9998248676538516,C,1
f1,2,A,1,NEG,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,0.9588924613202932,0.03281149307872436,0.008296045600982514,A,1
f1,3,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.3713802218751685,0.6123024703153513,0.01631730780948013,B,1
f1,4,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,0.00023029676887522201,0.0009108414231949844,0.9988588618079298,C,1
f1,5,A,1,NEG,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,0.7571610918264726,0.21693028225490962,0.025908625918617766,A,1
f1,6,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.002790889693334521,0.9936255372172086,0.003583573089456926,B,1
f1,7,B,1,NEG,2,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,0.0473580516491343,0.951211859106169,0.0014300892446966662,B,1
f1,8,C,2,POS,2,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,7.411076101394283e-06,2.7535489323664534e-05,0.999965053434575,C,1
f1,9,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.6984179836170918,0.25693365123028367,0.04464836515262451,A,0
f2,0,A,1,NEG,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,0.7510944867333388,0.24384467827430195,0.00506083499235926,A,1
f2,1,B,1,NEG,2,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,0.9412984096992607,0.05310442541707613,0.005597164883663183,A,0
f2,2,B,1,POS,2,Sam only gave SUE oranges.,Sam also gave Sue apples.,0.0005512311612764173,0.0027993831220413635,0.9966493857166823,C,0
f2,3,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.9868915004459824,0.004570214745134843,0.00853828480888273,A,1
f2,4,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.9919319153618257,0.0021698423561945994,0.005898242281979777,A,1
f2,5,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.008538284237199895,0.9868915010044408,0.004570214758359308,B,1
f2,6,A,2,NEG,2,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,0.9598463771523957,0.017580199977584757,0.022573422870019507,A,1
f2,7,B,1,POS,2,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,0.0007952584975868446,0.010978205975289057,0.9882265355271241,C,0
f2,8,B,1,NEG,2,Sam only gave MARY grapes.,Sam didn't give Mary apples.,0.02282709652936564,0.9706328307656339,0.006540072705000513,B,1
f2,9,C,1,POS,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,0.00020298304013301223,0.0021822734124891854,0.9976147435473778,C,1
f3,0,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,0.969120586569292,0.010765958248217269,0.020113455182490754,A,1
f3,1,C,2,NEG,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen apples.,3.089479545409965e-06,4.785079769819038e-06,0.9999921254406847,C,1
f3,2,B,2,POS,1,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,0.16046794612501092,0.8149234960349281,0.024608557840061003,B,1
f3,3,B,2,POS,1,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,0.037294146140769424,0.9618287795328934,0.0008770743263372074,B,1
f3,4,B,2,NEG,1,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,0.13837057784307344,0.7962677817227646,0.06536164043416198,B,1
f3,5,B,2,NEG,1,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,0.8212432555771747,0.1617123846869298,0.017044359735895465,A,0
f3,6,B,1,POS,2,Sam only gave ROB oranges.,Sam also gave Rob apples.,0.0035922420218998776,0.9960291384540095,0.0003786195240905892,B,1
