example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,0,Sam only gave Rob bananas.,Sam didn't give Tom bananas.,"by stating that Sam only gave bananas to Rob, it is entailed that he didn't give bananas to anyone else, including Tom.",0.0,0.0,1,NEG,1,f2,baseline,openai,gpt-4o,20260519_142234,,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,0,A,0,Sam only gave Tom grapes.,Sam didn't give Tom oranges.,"if Sam only gave Tom grapes, it implies he didn't give Tom any other fruit, such as oranges.",0.0,0.0,1,NEG,2,f2,baseline,openai,gpt-4o,20260519_142234,,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,0,Sam only gave Sue oranges.,Sam also gave Sue apples.,"if Sam only gave Sue oranges, then he could not have given her apples, contradicting S2.",0.0,0.0,1,POS,2,f2,baseline,openai,gpt-4o,20260519_142234,,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,0,Sam only gave Sue bananas.,Sam didn't give Rob bananas.,"if Sam only gave Sue bananas, it implies he didn't give bananas to anyone else, including Rob.",0.0,0.0,1,NEG,1,f2,baseline,openai,gpt-4o,20260519_142234,,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,0,Sam only gave Tom oranges.,Sam didn't give Tom bananas.,"if Sam only gave Tom oranges, it implies he didn't give Tom any other fruit, such as bananas.",0.0,0.0,2,NEG,2,f2,baseline,openai,gpt-4o,20260519_142234,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,0,Sam only gave Sue apples.,Sam didn't give Sue oranges.,"if Sam only gave Sue apples, it implies he didn't give her any other fruit, such as oranges.",0.0,0.0,1,NEG,2,f2,baseline,openai,gpt-4o,20260519_142234,,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,0,Sam only gave Sue grapes.,Sam didn't give Sue apples.,"if Sam only gave Sue grapes, it implies he didn't give her any other fruit, such as apples.",0.0,0.0,2,NEG,2,f2,baseline,openai,gpt-4o,20260519_142234,,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,0,Sam only gave Ellen oranges.,Sam also gave Ellen bananas.,"if Sam only gave Ellen oranges, then he could not have also given her bananas, contradicting S2.",0.0,0.0,1,POS,2,f2,baseline,openai,gpt-4o,20260519_142234,,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,0,Sam only gave Mary grapes.,Sam didn't give Mary apples.,"if Sam only gave Mary grapes, it implies he didn't give her any other fruit, such as apples.",0.0,0.0,1,NEG,2,f2,baseline,openai,gpt-4o,20260519_142234,,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,0,B,0,Sam only gave Bill oranges.,Sam also gave Mary oranges.,"S1 specifies Sam's action towards Bill and doesn't provide information about his actions towards Mary, so S2 is independent of S1.",0.0,0.0,1,POS,1,f2,baseline,openai,gpt-4o,20260519_142234,,,
