example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,,,0,The original content of this audio is: 'Sam only gave Bill grapes. Sam also gave Sue grapes.',,,0.7204,,1,POS,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,,,0,The original content of this audio is: 'Sam only gave Sue oranges. Sam also gave Rob oranges.',,,0.7234,,1,POS,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,,,0,The original content of this audio is:'Sam only gave Sue grapes. Sam didn't give Ellen grapes.',,,0.7368,,1,NEG,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,,,0,The original content of this audio is: 'Sam only gave Tom apples. Sam didn't give Tom grapes.',,,0.734,,1,NEG,2,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,,,0,The original content of this audio is: 'Sam only gave Rob oranges. Sam also gave Rob apples.',,,0.7204,,2,POS,2,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,,,0,The transcription of the sentence is: 'Sam only gave Sue graves. Sam didn't give Tom graves.',,,0.7419,,1,NEG,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,,,0,The original content of this audio is: 'Sam only gave Ellen bananas. Sam also gave Mary bananas.',,,0.7113,,2,POS,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,,,0,The original content of this audio is: 'Sam only gave Rob bananas. Sam didn't give Rob oranges.',,,0.7292,,1,NEG,2,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,,,0,The original content of this audio is: 'Sam only gave Mary bananas. Sam also gave Mary apples.',,,0.7158,,2,POS,2,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,,,0,The original content of this audio is:'um only gave sue oranges sam didn't give rob oranges.',,,0.7204,,2,NEG,1,f1,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,,,0,The original content of this audio is: 'Sam only gave Rob bananas. Sam didn't give Tom bananas.',,,0.7292,,1,NEG,1,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,,,0,The original content of this audio is: 'Sam only gave Tom grapes. Sam didn't give Tom oranges.',,,0.7368,,1,NEG,2,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,,,0,The original content of this audio is: 'Sam only gave Sue oranges. Sam also gave Sue apples.',,,0.7204,,1,POS,2,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,,,0,The original content of this audio is: 'Sam only gave Sue bananas. Sam didn't give Rob bananas.',,,0.7292,,1,NEG,1,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,,,0,The transcription of the sentence is: 'Sam only gave Tom oranges. Sam didn't give Tom bananas.',,,0.7263,,2,NEG,2,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,,,0,The original content of this audio is: 'Sam only gave Sue apples Sam didn't give Sue oranges.',,,0.734,,1,NEG,2,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,,,0,The original content of this audio is: 'Sam only gave Sue grapes. Sam didn't give Sue apples.',,,0.734,,2,NEG,2,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,,,0,The original content of this audio is: 'Sam only gave Ellen oranges. Sam also gave Ellen bananas.',,,0.7143,,1,POS,2,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,,,0,The original content of this audio is:'Sam only gave Mary grapes. Sam didn't give Mary apples.',,,0.7263,,1,NEG,2,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,,,0,The original content of this audio is: 'Sam only gave Bill oranges. Sam also gave Mary oranges.',,,0.7188,,1,POS,1,f2,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,,,0,The original content of this audio is: 'Sam only gave Ellen grapes. Sam didn't give Tom grapes.',,,0.7188,,1,NEG,1,f3,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen apples.,C,,,0,The original content of this audio is: 'Sam only gave Ellen apples. Sam didn't give Ellen apples.',,,0.7245,,2,NEG,0,f3,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,,,0,The original content of this audio is:'Sam only gave Rob grapes Sam also gave Ellen grapes.',,,0.7283,,2,POS,1,f3,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,,,0,The original content of this audio is: 'Sam only gave Rob apples. Sam also gave Ellen apples.',,,0.734,,2,POS,1,f3,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,,,0,The original content of this audio is: 'Sam only gave Ellen apples. Sam didn't give Bill apples.',,,0.7216,,2,NEG,1,f3,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,,,0,The original content of this audio is: 'Sam only gave Rob apples. Sam didn't give Sue apples.',,,0.734,,2,NEG,1,f3,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,,,0,The original content of this audio is: 'Sam only gave Rob oranges. Sam also gave Rob apples.',,,0.7204,,1,POS,2,f3,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,,,0,The original content of this audio is: 'Sam only gave Rob apples. Sam also gave Rob grapes.',,,0.7283,,1,POS,2,f3,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,,,0,The original content of this audio is: 'Sam only gave Rob bananas. Sam didn't give Ellen bananas.',,,0.7347,,1,NEG,1,f3,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
