example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,,,,"the first sentence states that Sam ""only"" gave Bill bananas, which restricts the gifts to just bananas. The second sentence contradicts this by saying Sam also gave Bill grapes.",,,2,POS,2,f7,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecBhQdMm8vzKmGgAE4LtSFPR4RS,,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,,,,"the first sentence specifies that Sam ""only"" gave Mary apples, meaning Mary did not receive anything else from Sam. The second sentence contradicts this by stating that Sam also gave Ellen apples, which introduces another recipient of apples when the first sentence implies exclusivity to Mary.",,,1,POS,1,f7,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecBhQdMm8vzKmGgAE4LtSFPR4RS,,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,0,C,,,,"the first sentence says Sam ""only"" gave Sue apples, meaning that Sue didn’t receive anything else. The second sentence contradicts this by saying Sam also gave Tom apples, which disputes the exclusivity implied by the first sentence.",,,2,POS,1,f7,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecBhQdMm8vzKmGgAE4LtSFPR4RS,,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,,,,"the first sentence says Sam ""only"" gave Bill grapes, meaning he gave him no other types of fruit. The second sentence is consistent with this because it states that Sam didn’t give Bill oranges, which aligns with the restriction in the first sentence.",,,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecBhQdMm8vzKmGgAE4LtSFPR4RS,,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,A,,,,"the first sentence says Sam ""only"" gave Bill apples, which implies that Bill did not receive any other fruit. The second sentence is consistent with that by explicitly saying that Sam didn’t give Bill bananas.",,,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecBhQdMm8vzKmGgAE4LtSFPR4RS,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,,,,"the first sentence states Sam ""only"" gave Sue apples, implying Sue received nothing else. The second sentence supports this by confirming that Sam didn’t give Sue bananas.",,,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecBhQdMm8vzKmGgAE4LtSFPR4RS,,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,1,A,,,,"the first sentence says Sam ""only"" gave Ellen oranges, meaning he restricted his gifts to just oranges. The second sentence is consistent with this by saying Sam didn’t give Tom oranges, and that does not contradict the first statement.",,,1,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecBhQdMm8vzKmGgAE4LtSFPR4RS,,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,,,,"the first sentence says Sam ""only"" gave Tom apples, meaning Tom didn’t receive other fruits. The second sentence supports this by saying Sam didn’t give Mary apples, which is in line with the exclusivity implied by the first sentence.",,,1,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecBhQdMm8vzKmGgAE4LtSFPR4RS,,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,0,C,,,,"the first sentence says Sam ""only"" gave Tom apples, meaning Tom received no other fruits, and no one else necessarily received apples. The second sentence contradicts this by saying Sam also gave Bill apples, undermining the exclusivity implied by ""only"" in the first sentence.",,,2,POS,1,f7,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecBhQdMm8vzKmGgAE4LtSFPR4RS,,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,0,A,,,,"the first sentence says Sam ""only"" gave Sue bananas, meaning Sue did not receive any other fruits. The second sentence aligns with this by saying Sam didn’t give Tom bananas, which doesn’t contradict the first statement in any way.",,,2,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecBhQdMm8vzKmGgAE4LtSFPR4RS,,
