file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
f1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,0.05107501234647907,0.8504753231852951,0.09844966446822583,B,0
f1,1,C,1,POS,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,0.032391613323286175,0.8224392431410272,0.14516914353568663,B,0
f1,2,A,1,NEG,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,0.36831719011825353,0.5794443240298276,0.0522384858519189,B,0
f1,3,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.8479281330687998,0.12801799673879558,0.024053870192404687,A,0
f1,4,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,0.012793654382565767,0.5701070968291353,0.41709924878829896,B,0
f1,5,A,1,NEG,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,0.7213313019810167,0.24161572640555004,0.037052971613433246,A,1
f1,6,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.08306299843354356,0.8389065411275027,0.0780304604389537,B,1
f1,7,B,1,NEG,2,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,0.834565691814978,0.13204748017812568,0.03338682800689635,A,0
f1,8,C,2,POS,2,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,0.008014571503642398,0.389192423781795,0.6027930047145625,C,1
f1,9,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.4666609501734977,0.47400976392645844,0.05932928590004386,B,1
f2,0,A,1,NEG,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,0.3669265951791104,0.5683070176760701,0.06476638714481951,B,0
f2,1,B,1,NEG,2,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,0.8989462741738256,0.07854904517322443,0.02250468065294997,A,0
f2,2,B,1,POS,2,Sam only gave SUE oranges.,Sam also gave Sue apples.,0.008001045436073946,0.2489052232436989,0.7430937313202272,C,0
f2,3,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.4613806665453841,0.5067275468402417,0.031891786614374244,B,0
f2,4,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.8303956958855185,0.14206394989602206,0.027540354218459382,A,1
f2,5,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.8771759612437587,0.10313951669261659,0.01968452206362466,A,0
f2,6,A,2,NEG,2,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,0.9469874898857029,0.03671869049788225,0.016293819616414844,A,1
f2,7,B,1,POS,2,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,0.016655029197006246,0.6972103964449963,0.28613457435799744,B,1
f2,8,B,1,NEG,2,Sam only gave MARY grapes.,Sam didn't give Mary apples.,0.7444946619847507,0.21666028650142932,0.03884505151381996,A,0
f2,9,C,1,POS,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,0.015905166750120308,0.8683926990854752,0.11570213416440445,B,0
f3,0,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,0.32624749363498334,0.6095105657594794,0.0642419406055373,B,0
f3,1,C,2,NEG,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen apples.,0.007384957881526987,0.025376414780514178,0.9672386273379588,C,1
f3,2,B,2,POS,1,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,0.2797518640520796,0.6606855273349663,0.059562608612954114,B,1
f3,3,B,2,POS,1,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,0.16987184097113134,0.7151871305303438,0.11494102849852492,B,1
f3,4,B,2,NEG,1,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,0.47180653617150375,0.47923638515040345,0.048957078678092784,B,1
f3,5,B,2,NEG,1,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,0.3108517771968063,0.6279378775393971,0.0612103452637966,B,1
f3,6,B,1,POS,2,Sam only gave ROB oranges.,Sam also gave Rob apples.,0.01814229144218752,0.6395377776114005,0.342319930946412,B,1
f3,7,B,1,POS,2,Sam only gave ROB apples.,Sam also gave Rob grapes.,0.023895490579069468,0.698328600177304,0.2777759092436265,B,1
f3,8,A,1,NEG,1,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,0.6682600347944704,0.2742533434148121,0.05748662179071753,A,1
f3,9,B,2,POS,1,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,0.057154896565518,0.8140445419128272,0.1288005615216548,B,1
f4,0,C,1,POS,1,Sam only gave SUE apples.,Sam also gave Rob apples.,0.015725930710699526,0.7344052502862275,0.24986881900307295,B,0
f4,1,B,2,NEG,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,0.3157047911981711,0.6181198999567207,0.06617530884510828,B,1
f4,2,C,1,POS,1,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,0.02013342092587716,0.4441361313404181,0.5357304477337047,C,1
f4,3,B,2,NEG,1,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,0.2515658303819562,0.6838267300480699,0.06460743956997392,B,1
f4,4,B,1,POS,2,Sam only gave ROB bananas.,Sam also gave Rob oranges.,0.010473298430618986,0.4523489936913198,0.5371777078780612,C,0
f4,5,A,2,NEG,2,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,0.9075696571937668,0.07108634893786782,0.021343993868365337,A,1
f4,6,A,2,NEG,2,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,0.9281590093125333,0.054025326062706824,0.0178156646247599,A,1
f4,7,B,2,NEG,1,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,0.2928901417193224,0.6600381308881353,0.04707172739254228,B,1
f4,8,A,1,NEG,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,0.43197008634262435,0.5210553507943964,0.046974562862979234,B,0
f4,9,A,2,NEG,2,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,0.8198099147021489,0.1380785142816746,0.042111571016176436,A,1
f5,0,C,2,POS,2,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,0.007313168927762063,0.3496260647446819,0.643060766327556,C,1
f5,1,C,1,POS,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,0.01454002453487711,0.81905820737452,0.1664017680906029,B,0
f5,2,B,1,NEG,2,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,0.8602702067259855,0.12012063746155695,0.01960915581245746,A,0
f5,3,C,1,POS,1,Sam only gave MARY oranges.,Sam also gave Tom oranges.,0.013140140968483276,0.6532251006024309,0.33363475842908585,B,0
f5,4,B,2,NEG,1,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,0.5651715368239645,0.3884363568128791,0.04639210636315641,A,0
f5,5,C,2,POS,2,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,0.006165426818114007,0.643804273368585,0.3500302998133009,B,0
f5,6,C,1,POS,1,Sam only gave SUE apples.,Sam also gave Mary apples.,0.009010615412266547,0.7214159216878515,0.269573462899882,B,0
f5,7,C,2,POS,2,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,0.014115774269141327,0.669591547429131,0.31629267830172775,B,0
f5,8,C,2,POS,2,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,0.009633827994619407,0.35590208033759396,0.6344640916677866,C,1
f5,9,A,2,NEG,2,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,0.8253808214562769,0.12657625658874158,0.048042921954981554,A,1
f6,0,A,1,NEG,1,Sam only gave ROB apples.,Sam didn't give Sue apples.,0.4201898302183451,0.5311696694788631,0.04864050030279171,B,0
