example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,"the focus is on ROB, “only” means oranges were given to no one except Rob; therefore Tom didn’t get oranges.",0.0,0.0,1,NEG,1,f11,oracle,openai,gpt-5,20260519_150444,,,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,"the focus is on SUE, “only” means grapes were given to no one except Sue; therefore Bill didn’t get grapes.",0.0,0.0,1,NEG,1,f11,oracle,openai,gpt-5,20260519_150444,,,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,1,A,1,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,"the focus is on SUE, “only” means oranges were given to no one except Sue; therefore Mary didn’t get oranges.",0.0,0.0,1,NEG,1,f11,oracle,openai,gpt-5,20260519_150444,,,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,1,B,1,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,"the focus is on ELLEN, “only” restricts who got bananas (only Ellen), not what Ellen got; it says nothing about grapes.",0.0,0.0,1,NEG,2,f11,oracle,openai,gpt-5,20260519_150444,,,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,1,B,1,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,"the focus is on ELLEN, “only” restricts who got bananas (only Ellen), not whether Ellen got oranges.",0.0,0.0,1,NEG,2,f11,oracle,openai,gpt-5,20260519_150444,,,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,1,B,1,Sam only gave ROB grapes.,Sam didn't give Rob apples.,"the focus is on ROB, “only” restricts who got grapes (only Rob), not whether Rob got apples.",0.0,0.0,1,NEG,2,f11,oracle,openai,gpt-5,20260519_150444,,,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave BILL apples.,Sam also gave Ellen apples.,"the focus is on BILL, “only” means no one but Bill got apples; saying Ellen also got apples contradicts this.",0.0,0.0,1,POS,1,f11,oracle,openai,gpt-5,20260519_150444,,,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,1,C,1,Sam only gave ELLEN apples.,Sam also gave Sue apples.,"the focus is on ELLEN, “only” means no one but Ellen got apples; giving Sue apples contradicts this.",0.0,0.0,1,POS,1,f11,oracle,openai,gpt-5,20260519_150444,,,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,"the focus is on ELLEN, “only” means no one but Ellen got oranges; giving Rob oranges contradicts this.",0.0,0.0,1,POS,1,f11,oracle,openai,gpt-5,20260519_150444,,,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Bill apples.,"the focus is on SUE, “only” means no one but Sue got apples; giving Bill apples contradicts this.",0.0,0.0,1,POS,1,f11,oracle,openai,gpt-5,20260519_150444,,,
