example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,0,C,,,,"in S1, ""Sam only gave Ellen grapes"" focuses on Ellen, meaning Sam didn’t give grapes to anyone else. In S2, ""Sam didn't give Tom grapes"" is compatible with that constraint. But the next part, ""Sam only gave Ellen apples,"" contradicts the exclusive focus on grapes in S1. S1 implies that Ellen was the only recipient of grapes, and doesn’t mention apples. Thus, S2 contradicts S1’s exclusivity about grapes.",,,1,NEG,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnr5jARfosdwVZSY3yhbwaMZSCM,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,,,,"in S1, ""Sam only gave Ellen grapes"" with prosodic focus on Ellen means Sam didn’t give grapes to anyone else. But S2 says, ""Sam also gave Ellen grapes,"" implying that Ellen wasn’t the only recipient, contradicting S1. The focus in S1 excludes others receiving grapes, so S2 contradicts it.",,,2,NEG,2,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnr5jARfosdwVZSY3yhbwaMZSCM,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,C,,,,"S1 says, ""Sam only gave Rob grapes,"" which means no one else received grapes from Sam. But S2 says, ""Sam also gave Ellen grapes,"" which contradicts S1’s exclusivity. S1’s prosodic focus makes it clear that Rob was the lone recipient of grapes. S2 directly introduces another recipient, Ellen, which contradicts S1.",,,2,POS,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnr5jARfosdwVZSY3yhbwaMZSCM,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,,,,"S1, ""Sam only gave Rob apples,"" means Rob was the exclusive recipient of apples. In S2, ""Sam also gave Ellen apples"" contradicts that exclusivity. S1’s prosody excludes any other apple recipients, but S2 adds Ellen as another recipient, creating a contradiction.",,,2,POS,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnr5jARfosdwVZSY3yhbwaMZSCM,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,,,,"S1, ""Sam only gave Ellen apples,"" focuses on Ellen as the unique recipient of apples. S2, ""Sam didn't give Bill apples,"" is entailed, since S1 rules out any other recipients besides Ellen. This follows directly from S1’s exclusivity focus, so S2 is entailed.",,,2,NEG,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnr5jARfosdwVZSY3yhbwaMZSCM,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,,,,"S1, ""Sam only gave Rob apples,"" means that Rob was the exclusive recipient. S2, ""Sam didn't give Sue apples"" is entailed by S1, since no one else except Rob got apples. The prosodic focus on Rob in S1 excludes Sue or anyone else from getting apples.",,,2,NEG,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnr5jARfosdwVZSY3yhbwaMZSCM,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,0,C,,,,"S1, ""Sam only gave Rob oranges,"" means Rob was the sole recipient of oranges. S2 states, ""Sam also gave Rob apples,"" introducing a new item (apples) that S1 did not include. The exclusivity was on oranges, so giving Rob apples contradicts the exclusivity of the only-item focus from S1.",,,1,POS,2,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnr5jARfosdwVZSY3yhbwaMZSCM,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,0,C,,,,"S1, ""Sam only gave Rob apples,"" makes Rob the exclusive apple recipient. In S2, ""Sam also gave Rob grapes,"" the new item (grapes) violates the exclusivity in S1. The prosodic focus in S1 limits it to only apples for Rob, so adding grapes contradicts it.",,,1,POS,2,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnr5jARfosdwVZSY3yhbwaMZSCM,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,,,,"S1, ""Sam only gave Rob bananas,"" means Rob was the only recipient of bananas. S2, ""Sam didn't give Ellen bananas"" is entailed by S1’s exclusivity. The focus on Rob excludes Ellen from getting bananas. So S2 is entailed by S1.",,,1,NEG,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnr5jARfosdwVZSY3yhbwaMZSCM,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,1,B,,,,"S1, ""Sam only gave Mary apples,"" focuses on Mary as the exclusive apple recipient. S2, ""Sam also gave Ellen apples,"" introduces Ellen as an additional recipient. There is no logical mapping between Mary-focused exclusivity in S1 and the introduction of Ellen in S2, so the two sentences are independent. They neither entail nor contradict each other.",,,2,POS,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnr5jARfosdwVZSY3yhbwaMZSCM,
