example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,"S1 entails that Sam didn't give oranges to anyone other than Rob, which includes Tom.",0.0,0.0,1,NEG,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,"S1 entails that Sam didn't give grapes to anyone other than Sue, which includes Bill.",0.0,0.0,1,NEG,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,1,A,1,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,"S1 entails that Sam didn't give oranges to anyone other than Sue, which includes Mary.",0.0,0.0,1,NEG,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,1,B,1,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,"S1 only restricts the recipients of bananas, it does not restrict what else Ellen might have received.",0.0,0.0,1,NEG,2,f11,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,1,B,1,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,"S1 only restricts the recipients of bananas, it does not restrict what else Ellen might have received.",0.0,0.0,1,NEG,2,f11,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,1,B,1,Sam only gave ROB grapes.,Sam didn't give Rob apples.,"S1 only restricts the recipients of grapes, it does not restrict what else Rob might have received.",0.0,0.0,1,NEG,2,f11,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave BILL apples.,Sam also gave Ellen apples.,"S1 entails that Sam didn't give apples to anyone other than Bill, which contradicts S2.",0.0,0.0,1,POS,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,1,C,1,Sam only gave ELLEN apples.,Sam also gave Sue apples.,"S1 entails that Sam didn't give apples to anyone other than Ellen, which contradicts S2.",0.0,0.0,1,POS,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,"S1 entails that Sam didn't give oranges to anyone other than Ellen, which contradicts S2.",0.0,0.0,1,POS,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Bill apples.,"S1 entails that Sam didn't give apples to anyone other than Sue, which contradicts S2.",0.0,0.0,1,POS,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
