example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,0,A,,,,"S1 states that Sam only gave Bill grapes, and S2 adds that Sam also gave Bill apples. The second sentence does not contradict the first but rather extends the information. The focus on ""only"" in the first sentence indicates exclusivity for grapes at that moment, and S2 shows additional giving beyond grapes, so they're compatible.",,,1,POS,2,f12,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeczNUZaVOwfqBwqrgcancAG8nRb,,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,0,C,,,,"S1 says Sam only gave Rob apples, but S2 says Sam also gave Rob bananas. The focus on ""only"" in the first sentence creates a contradiction with the second sentence, which adds another item (bananas).",,,1,POS,2,f12,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeczNUZaVOwfqBwqrgcancAG8nRb,,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,1,B,,,,"S1 states Sam only gave Rob grapes, and S2 mentions Sam also gave Rob bananas. Since the focus in S1 is on limiting the gift to grapes, the second sentence introduces new independent information that does not directly negate the first but moves beyond it.",,,1,POS,2,f12,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeczNUZaVOwfqBwqrgcancAG8nRb,,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,1,B,,,,"S1 indicates Sam only gave Rob oranges, and S2 says Sam didn’t give Ellen oranges. These statements involve different people (Rob and Ellen), so S2 provides independent information about someone else.",,,2,NEG,1,f12,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeczNUZaVOwfqBwqrgcancAG8nRb,,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,0,C,,,,"S1 says Sam only gave Sue apples, while S2 says Sam didn’t give Rob apples. The focus on ""Sue"" in the first sentence implies exclusivity to Sue, and the second sentence attempts to restrict apples away from Rob. However, the exclusivity of S1 doesn’t logically guarantee S2, making them contradictory.",,,2,NEG,1,f12,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeczNUZaVOwfqBwqrgcancAG8nRb,,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,0,C,,,,"S1 claims Sam only gave Tom apples, but S2 says Sam didn’t give Bill apples. The focus on S1 makes the action exclusive to Tom. However, S2 talks about Bill, which contradicts the exclusivity implied in S1.",,,2,NEG,1,f12,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeczNUZaVOwfqBwqrgcancAG8nRb,,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,0,C,,,,"S1 suggests that Sam only gave Tom bananas, but S2 says Sam didn’t give Sue bananas. The focus on ""only"" Tom in S1 implies that bananas were exclusively for Tom, making S2 irrelevant or contradictory, as it tries to eliminate Sue’s receipt of bananas, which is unnecessary given the exclusivity of the first sentence.",,,2,NEG,1,f12,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeczNUZaVOwfqBwqrgcancAG8nRb,,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,1,A,,,,"S1 says Sam only gave Sue apples, and S2 states Sam didn’t give Sue oranges. The focus on ""only"" Sue receiving apples in S1 logically entails that Sue didn’t receive oranges.",,,2,NEG,2,f12,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeczNUZaVOwfqBwqrgcancAG8nRb,,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,1,A,,,,"S1 states Sam only gave Sue bananas, and S2 says Sam didn’t give Sue oranges. The focus on ""only"" Sue receiving bananas means that oranges were not given to her by exclusion, so the second sentence follows logically.",,,2,NEG,2,f12,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeczNUZaVOwfqBwqrgcancAG8nRb,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,1,A,,,,"S1 says Sam only gave Sue oranges, and S2 confirms that Sam didn’t give Sue bananas. The focus on the exclusivity of oranges in S1 naturally leads to the entailment that bananas were not given.",,,2,NEG,2,f12,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeczNUZaVOwfqBwqrgcancAG8nRb,,
