example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,"with recipient focus (ELLEN), “only” means no one other than Ellen got grapes; thus Tom didn’t get grapes.",0.0,0.0,1,NEG,1,f3,oracle,openai,gpt-5,20260519_150444,,,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,1,A,1,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,"with object focus (APPLES), “only” means Ellen got nothing but apples; hence she didn’t get oranges.",0.0,0.0,2,NEG,2,f3,oracle,openai,gpt-5,20260519_150444,,,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,1,B,1,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,"with object focus (GRAPES), “only” limits what Rob got (just grapes), not who else got grapes; Ellen may also have gotten grapes.",0.0,0.0,2,POS,1,f3,oracle,openai,gpt-5,20260519_150444,,,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,1,B,1,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,"with object focus (APPLES), “only” limits what Rob got, not who else got apples; giving Ellen apples is compatible but not entailed.",0.0,0.0,2,POS,1,f3,oracle,openai,gpt-5,20260519_150444,,,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,1,B,1,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,"with object focus (APPLES), “only” restricts what Ellen got, not who else got apples; Bill may or may not have gotten apples.",0.0,0.0,2,NEG,1,f3,oracle,openai,gpt-5,20260519_150444,,,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,1,B,1,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,"with object focus (APPLES), “only” restricts what Rob got, not who else got apples; Sue may or may not have gotten apples.",0.0,0.0,2,NEG,1,f3,oracle,openai,gpt-5,20260519_150444,,,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,1,Sam only gave ROB oranges.,Sam also gave Rob apples.,"with recipient focus (ROB), “only” restricts who got oranges (only Rob), not what Rob got; he may or may not also have gotten apples.",0.0,0.0,1,POS,2,f3,oracle,openai,gpt-5,20260519_150444,,,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,1,B,1,Sam only gave ROB apples.,Sam also gave Rob grapes.,"with recipient focus (ROB), “only” restricts who got apples (only Rob), not what Rob got; he may or may not also have gotten grapes.",0.0,0.0,1,POS,2,f3,oracle,openai,gpt-5,20260519_150444,,,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,"with recipient focus (ROB), “only” means no one other than Rob got bananas; thus Ellen didn’t get bananas.",0.0,0.0,1,NEG,1,f3,oracle,openai,gpt-5,20260519_150444,,,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,1,B,1,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,"with object focus (APPLES), “only” limits what Mary got, not who else got apples; giving Ellen apples is compatible but not entailed.",0.0,0.0,2,POS,1,f3,oracle,openai,gpt-5,20260519_150444,,,
