example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,0,C,1,Sam only gave BILL grapes.,Sam also gave Bill apples.,"S1 states that Sam *only* gave Bill grapes, implying he gave Bill nothing else. S2 states he *also* gave Bill apples, which contradicts the exclusivity implied by ""only"" in S1.",0.0,0.0,1,POS,2,f12,audio,gemini,gemini-2.5-flash,20260428_141156,,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,0,C,1,Sam only gave ROB apples.,Sam also gave Rob bananas.,"S1 states that Sam *only* gave Rob apples, implying he gave Rob nothing else. S2 states he *also* gave Rob bananas, which contradicts the exclusivity implied by ""only"" in S1.",0.0,0.0,1,POS,2,f12,audio,gemini,gemini-2.5-flash,20260428_141156,,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,0,C,1,Sam only gave ROB grapes.,Sam also gave Rob bananas.,"S1 states that Sam *only* gave Rob grapes, implying he gave Rob nothing else. S2 states he *also* gave Rob bananas, which contradicts the exclusivity implied by ""only"" in S1.",0.0,0.0,1,POS,2,f12,audio,gemini,gemini-2.5-flash,20260428_141156,,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,0,A,1,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,"S1 implies that if Sam gave oranges to anyone, it was exclusively to Rob. Therefore, it is entailed that Sam did not give oranges to anyone else, including Ellen.",0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260428_141156,,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,0,A,1,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,"S1 implies that if Sam gave apples to anyone, it was exclusively to Sue. Therefore, it is entailed that Sam did not give apples to anyone else, including Rob.",0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260428_141156,,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,0,A,1,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,"S1 implies that if Sam gave apples to anyone, it was exclusively to Tom. Therefore, it is entailed that Sam did not give apples to anyone else, including Bill.",0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260428_141156,,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,0,A,1,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,"S1 implies that if Sam gave bananas to anyone, it was exclusively to Tom. Therefore, it is entailed that Sam did not give bananas to anyone else, including Sue.",0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260428_141156,,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,1,A,1,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,S1 states that the *only* thing Sam gave Sue was apples. This entails that Sam did not give Sue oranges.,0.0,0.0,2,NEG,2,f12,audio,gemini,gemini-2.5-flash,20260428_141156,,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,1,A,1,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,S1 states that the *only* thing Sam gave Sue was bananas. This entails that Sam did not give Sue oranges.,0.0,0.0,2,NEG,2,f12,audio,gemini,gemini-2.5-flash,20260428_141156,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,1,A,1,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,S1 states that the *only* thing Sam gave Sue was oranges. This entails that Sam did not give Sue bananas.,0.0,0.0,2,NEG,2,f12,audio,gemini,gemini-2.5-flash,20260428_141156,,
