example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 states that Sam only gave Rob oranges, which means he didn't give oranges to anyone else. S2 states that Sam didn't give Tom oranges, which is consistent with S1.",,,1,NEG,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,1,A,,,,"S1 states that Sam only gave Sue grapes, which means he didn't give grapes to anyone else. S2 states that Sam didn't give Bill grapes, which is consistent with S1.",,,1,NEG,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,1,A,,,,"S1 states that Sam only gave Sue oranges, which means he didn't give oranges to anyone else. S2 states that Sam didn't give Mary oranges, which is consistent with S1.",,,1,NEG,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,0,A,,,,"S1 states that Sam only gave Ellen bananas, which means he didn't give bananas to anyone else. S2 states that Sam didn't give Ellen grapes, which is consistent with S1 because grapes are not bananas.",,,1,NEG,2,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,0,A,,,,"S1 states that Sam only gave Ellen bananas, which means he didn't give bananas to anyone else. S2 states that Sam didn't give Ellen oranges, which is consistent with S1 because oranges are not bananas.",,,1,NEG,2,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,0,A,,,,"S1 states that Sam only gave Rob grapes, which means he didn't give grapes to anyone else. S2 states that Sam didn't give Rob apples, which is consistent with S1 because apples are not grapes.",,,1,NEG,2,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,0,B,,,,"S1 states that Sam only gave Bill apples, which means he didn't give apples to anyone else. S2 states that Sam also gave Ellen apples, which contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,0,B,,,,"S1 states that Sam only gave Ellen apples, which means he didn't give apples to anyone else. S2 states that Sam also gave Sue apples, which contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,0,B,,,,"S1 states that Sam only gave Ellen oranges, which means he didn't give oranges to anyone else. S2 states that Sam also gave Rob oranges, which contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,0,B,,,,"S1 states that Sam only gave Sue apples, which means he didn't give apples to anyone else. S2 states that Sam also gave Bill apples, which contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
