example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,,,,,,,1,POS,1,f1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,0,B,,,,,,,1,POS,1,f1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,0,B,,,,,,,1,NEG,1,f1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"S2 is entailed by S1 because if Sam only gave Tom apples, then it is true that Sam didn't give Tom grapes.",,,1,NEG,2,f1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,,,,,,,2,POS,2,f1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,,,,1,NEG,1,f1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,,,,2,POS,1,f1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"S2 is entailed by S1 because if Sam only gave Rob bananas, then it is true that Sam didn't give Rob oranges.",,,1,NEG,2,f1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,B,,,,"S2 is independent of S1 because it introduces a new piece of information about Sam giving Mary apples, which is not entailed by the fact that Sam gave Mary bananas.",,,2,POS,2,f1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,,,,2,NEG,1,f1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,0,B,,,,,,,1,NEG,1,f2,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,0,A,,,,,,,1,NEG,2,f2,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,,,,"S2 contradicts S1 because S1 states that Sam only gave Sue oranges, while S2 states that Sam also gave Sue apples.",,,1,POS,2,f2,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_220841,,,speaker0
