example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,A,,,,Sam only gave Bill grapes means that Sam gave grapes to Bill and to no one else. Sam also gave Sue grapes means that Sam gave grapes to Sue. This contradicts the first statement.,,,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,0,A,,,,Sam only gave Sue oranges means that Sam gave oranges to Sue and to no one else. Sam also gave Rob oranges means that Sam gave oranges to Rob. This contradicts the first statement.,,,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,0,C,,,,Sam only gave Sue grapes means that Sam gave grapes to Sue and to no one else. Sam didn't give Ellen grapes means that Sam did not give grapes to Ellen. This is consistent with the first statement.,,,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,C,,,,Sam only gave Tom apples means that Sam gave apples to Tom and to no one else. Sam didn't give Tom grapes means that Sam did not give grapes to Tom. This is consistent with the first statement.,,,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,Sam only gave Rob oranges means that Sam gave oranges to Rob and to no one else. Sam also gave Rob apples means that Sam gave apples to Rob. This is consistent with the first statement.,,,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,C,,,,Sam only gave Sue grapes means that Sam gave grapes to Sue and to no one else. Sam didn't give Tom grapes means that Sam did not give grapes to Tom. This is consistent with the first statement.,,,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,Sam only gave Ellen bananas means that Sam gave bananas to Ellen and to no one else. Sam also gave Mary bananas means that Sam gave bananas to Mary. This contradicts the first statement.,,,2,POS,1,f1,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,C,,,,Sam only gave Rob bananas means that Sam gave bananas to Rob and to no one else. Sam didn't give Rob oranges means that Sam did not give oranges to Rob. This is consistent with the first statement.,,,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,A,,,,Sam only gave Mary bananas means that Sam gave bananas to Mary and to no one else. Sam also gave Mary apples means that Sam gave apples to Mary. This is consistent with the first statement.,,,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,,,,Sam only gave Sue oranges means that Sam gave oranges to Sue and to no one else. Sam didn't give Rob oranges means that Sam did not give oranges to Rob. This is consistent with the first statement.,,,2,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,0,C,,,,"S1 states that Sam only gave Rob bananas, meaning he didn't give bananas to anyone else. S2 states that Sam didn't give Tom bananas, which is consistent with S1.",,,1,NEG,1,f2,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,0,A,,,,"S1 states that Sam only gave Tom grapes, meaning he didn't give grapes to anyone else. S2 states that Sam didn't give Tom oranges, which is consistent with S1.",,,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,,,,"S1 states that Sam only gave Sue oranges, meaning he didn't give oranges to anyone else. S2 states that Sam also gave Sue apples, which contradicts S1 because it implies he gave Sue something other than oranges.",,,1,POS,2,f2,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,,,,"S1 states that Sam only gave Sue bananas, meaning he didn't give bananas to anyone else. S2 states that Sam didn't give Rob bananas, which is consistent with S1.",,,1,NEG,1,f2,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 states that Sam only gave Tom oranges, meaning he didn't give oranges to anyone else. S2 states that Sam didn't give Tom bananas, which is consistent with S1.",,,2,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,,,,"S1 states that Sam only gave Sue apples, meaning he didn't give apples to anyone else. S2 states that Sam didn't give Sue oranges, which is consistent with S1.",,,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,,,,"S1 states that Sam only gave Sue grapes, meaning he didn't give grapes to anyone else. S2 states that Sam didn't give Sue apples, which is consistent with S1.",,,2,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,,,,"S1 states that Sam only gave Ellen oranges, meaning he didn't give oranges to anyone else. S2 states that Sam also gave Ellen bananas, which contradicts S1 because it implies he gave Ellen something other than oranges.",,,1,POS,2,f2,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,,,,"S1 states that Sam only gave Mary grapes, meaning he didn't give grapes to anyone else. S2 states that Sam didn't give Mary apples, which is consistent with S1.",,,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,,,,"S1 states that Sam only gave Bill oranges, meaning he didn't give oranges to anyone else. S2 states that Sam also gave Mary oranges, which contradicts S1 because it implies he gave oranges to someone other than Bill.",,,1,POS,1,f2,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 states that Sam only gave Ellen grapes, which means that Sam did not give grapes to anyone else. S2 states that Sam did not give Tom grapes, which is consistent with S1.",,,1,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,,,,"S1 states that Sam only gave Ellen apples, which means that Sam did not give apples to anyone else. S2 states that Sam did not give Ellen apples, which contradicts S1.",,,2,NEG,2,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
